,fpr,tpr,auc,precision,recall,f1,sensitivity,specificity,macro_acc,micro_acc,g_mean,confusion_matrix,model_name,best_params,fold
0,"[0.         0.01612903 0.01612903 0.01612903 0.01612903 0.03225806
 0.0483871  0.06451613 0.08064516 0.11290323 0.16129032 0.19354839
 0.19354839 0.25806452 0.25806452 0.27419355 0.29032258 0.29032258
 0.30645161 0.38709677 0.40322581 0.43548387 0.4516129  0.53225806
 0.62903226 0.77419355 0.82258065 0.85483871 0.88709677 0.9516129
 1.        ]","[0.         0.15748031 0.43307087 0.52755906 0.59055118 0.62204724
 0.64566929 0.66141732 0.68503937 0.71653543 0.74015748 0.77165354
 0.78740157 0.81102362 0.82677165 0.82677165 0.84251969 0.87401575
 0.88188976 0.90551181 0.92125984 0.94488189 0.94488189 0.94488189
 0.94488189 0.96850394 0.98425197 0.98425197 0.99212598 0.99212598
 1.        ]",0.8791592583185166,0.8604651162790697,0.8740157480314961,0.8671875,0.8740157480314961,0.7096774193548387,0.7918465836931674,0.8201058201058201,0.7875717367570279,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B9860C52B0>,KNeighborsClassifier,"{'n_neighbors': 35, 'p': 2, 'weights': 'uniform'}",0
1,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.11290323 0.11290323 0.14516129
 0.14516129 0.16129032 0.16129032 0.17741935 0.17741935 0.19354839
 0.19354839 0.22580645 0.22580645 0.25806452 0.25806452 0.27419355
 0.27419355 0.29032258 0.29032258 0.32258065 0.35483871 0.38709677
 0.38709677 0.41935484 0.41935484 0.4516129  0.4516129  0.46774194
 0.46774194 0.48387097 0.48387097 0.48387097 0.48387097 0.5
 0.5        0.64516129 0.64516129 0.67741935 0.67741935 0.72580645
 0.72580645 0.74193548 0.74193548 0.82258065 0.82258065 0.85483871
 0.91935484 0.91935484 0.9516129  0.9516129  0.96774194 0.96774194
 1.        ]","[0.         0.00787402 0.44094488 0.44094488 0.5511811  0.5511811
 0.64566929 0.64566929 0.65354331 0.65354331 0.7007874  0.7007874
 0.73228346 0.73228346 0.75590551 0.75590551 0.77952756 0.77952756
 0.78740157 0.78740157 0.79527559 0.79527559 0.81102362 0.81102362
 0.82677165 0.82677165 0.83464567 0.83464567 0.84251969 0.84251969
 0.8503937  0.8503937  0.86614173 0.86614173 0.86614173 0.86614173
 0.87401575 0.87401575 0.88188976 0.88188976 0.88976378 0.88976378
 0.8976378  0.8976378  0.90551181 0.92125984 0.92913386 0.92913386
 0.93700787 0.93700787 0.94488189 0.94488189 0.95275591 0.95275591
 0.96062992 0.96062992 0.96850394 0.96850394 0.97637795 0.97637795
 0.97637795 0.98425197 0.98425197 0.99212598 0.99212598 1.
 1.        ]",0.8818897637795275,0.9026548672566371,0.8031496062992126,0.85,0.8031496062992126,0.8225806451612904,0.8128651257302515,0.8095238095238095,0.8128070627834398,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B9860C57F0>,RandomForestClassifier,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 26, 'n_estimators': 30, 'oob_score': True, 'random_state': 3}",0
2,"[0.         0.03225806 0.03225806 0.0483871  0.0483871  0.0483871
 0.0483871  0.0483871  0.0483871  0.0483871  0.0483871  0.0483871
 0.08064516 0.09677419 0.14516129 0.14516129 0.17741935 0.19354839
 0.19354839 0.20967742 0.22580645 0.22580645 0.22580645 0.22580645
 0.25806452 0.25806452 0.35483871 0.38709677 0.40322581 0.41935484
 0.41935484 0.4516129  0.5        0.51612903 0.5483871  0.59677419
 0.62903226 0.64516129 0.67741935 0.69354839 0.75806452 0.80645161
 0.83870968 0.90322581 1.        ]","[0.         0.39370079 0.4015748  0.4488189  0.48031496 0.48818898
 0.50393701 0.58267717 0.5984252  0.62204724 0.62992126 0.66141732
 0.66141732 0.67716535 0.67716535 0.7007874  0.7007874  0.71653543
 0.72440945 0.72440945 0.75590551 0.77952756 0.81102362 0.81889764
 0.8503937  0.87401575 0.87401575 0.87401575 0.88976378 0.88976378
 0.8976378  0.92913386 0.92913386 0.94488189 0.94488189 0.95275591
 0.96062992 0.96850394 0.96850394 0.99212598 0.99212598 0.99212598
 0.99212598 0.99212598 1.        ]",0.8678562357124713,0.8740157480314961,0.8740157480314961,0.8740157480314961,0.8740157480314961,0.7419354838709677,0.8079756159512319,0.8306878306878307,0.8052721880995232,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B984DFC6D0>,DecisionTreeClassifier,"{'class_weight': None, 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 11, 'random_state': 3, 'splitter': 'random'}",0
3,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.11290323
 0.11290323 0.20967742 0.20967742 0.22580645 0.22580645 0.25806452
 0.25806452 0.27419355 0.27419355 0.29032258 0.29032258 0.30645161
 0.30645161 0.32258065 0.32258065 0.33870968 0.33870968 0.38709677
 0.38709677 0.5483871  0.5483871  0.59677419 0.59677419 0.62903226
 0.62903226 0.64516129 0.64516129 0.80645161 0.80645161 0.91935484
 0.91935484 1.        ]","[0.         0.00787402 0.46456693 0.46456693 0.48818898 0.48818898
 0.65354331 0.65354331 0.71653543 0.71653543 0.79527559 0.79527559
 0.80314961 0.80314961 0.81102362 0.81102362 0.8503937  0.8503937
 0.85826772 0.85826772 0.87401575 0.87401575 0.8976378  0.8976378
 0.90551181 0.90551181 0.91338583 0.91338583 0.92913386 0.92913386
 0.93700787 0.93700787 0.94488189 0.94488189 0.95275591 0.95275591
 0.96062992 0.96062992 0.96850394 0.96850394 0.97637795 0.97637795
 1.         1.        ]",0.9010668021336042,0.8625954198473282,0.889763779527559,0.875968992248062,0.889763779527559,0.7096774193548387,0.7997205994411989,0.8306878306878307,0.7946353018149431,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B98C1D3A90>,SVC,"{'C': 0.2, 'degree': 0, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 3}",0
4,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.09677419
 0.09677419 0.16129032 0.16129032 0.17741935 0.17741935 0.19354839
 0.19354839 0.22580645 0.22580645 0.25806452 0.25806452 0.27419355
 0.27419355 0.29032258 0.29032258 0.32258065 0.32258065 0.33870968
 0.33870968 0.35483871 0.35483871 0.4516129  0.4516129  0.53225806
 0.53225806 0.58064516 0.58064516 0.77419355 0.77419355 0.90322581
 0.90322581 0.91935484 0.91935484 1.        ]","[0.         0.00787402 0.45669291 0.45669291 0.50393701 0.50393701
 0.60629921 0.60629921 0.71653543 0.71653543 0.77952756 0.77952756
 0.80314961 0.80314961 0.81102362 0.81102362 0.82677165 0.82677165
 0.83464567 0.83464567 0.84251969 0.84251969 0.87401575 0.87401575
 0.88188976 0.88188976 0.8976378  0.8976378  0.91338583 0.91338583
 0.92913386 0.92913386 0.93700787 0.93700787 0.94488189 0.94488189
 0.96062992 0.96062992 0.96850394 0.96850394 0.97637795 0.97637795
 0.98425197 0.98425197 1.         1.        ]",0.9046228092456184,0.8625954198473282,0.889763779527559,0.875968992248062,0.889763779527559,0.7096774193548387,0.7997205994411989,0.8306878306878307,0.7946353018149431,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B9860D16D0>,MLPClassifier,"{'activation': 'logistic', 'alpha': 0.05, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'constant', 'random_state': 3, 'solver': 'adam'}",0
5,"[0.         0.         0.         0.         0.         0.01612903
 0.01612903 0.03225806 0.03225806 0.0483871  0.0483871  0.06451613
 0.06451613 0.08064516 0.08064516 0.11290323 0.11290323 0.12903226
 0.12903226 0.14516129 0.14516129 0.16129032 0.16129032 0.20967742
 0.20967742 0.22580645 0.22580645 0.27419355 0.27419355 0.30645161
 0.30645161 0.32258065 0.32258065 0.33870968 0.33870968 0.33870968
 0.35483871 0.37096774 0.40322581 0.40322581 0.43548387 0.43548387
 0.51612903 0.51612903 0.53225806 0.53225806 0.64516129 0.66129032
 0.67741935 0.69354839 0.72580645 0.72580645 0.91935484 0.91935484
 1.        ]","[0.         0.00787402 0.1496063  0.16535433 0.22834646 0.22834646
 0.58267717 0.58267717 0.62204724 0.62204724 0.66141732 0.66141732
 0.69291339 0.69291339 0.73228346 0.73228346 0.75590551 0.75590551
 0.76377953 0.76377953 0.78740157 0.78740157 0.79527559 0.79527559
 0.81102362 0.81102362 0.82677165 0.82677165 0.84251969 0.84251969
 0.8503937  0.8503937  0.85826772 0.85826772 0.90551181 0.92125984
 0.92125984 0.92913386 0.92913386 0.93700787 0.93700787 0.94488189
 0.94488189 0.95275591 0.95275591 0.96850394 0.96850394 0.97637795
 0.97637795 0.98425197 0.98425197 0.99212598 0.99212598 1.
 1.        ]",0.8946532893065787,0.8384615384615385,0.8582677165354331,0.8482490272373542,0.8582677165354331,0.6612903225806451,0.7597790195580392,0.7936507936507937,0.7533685254430731,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B98BF938E0>,GradientBoostingClassifier,"{'learning_rate': 0.1, 'loss': 'exponential', 'max_depth': 3, 'min_samples_leaf': 31, 'random_state': 3}",0
6,"[0.         0.01612903 0.01612903 0.01612903 0.01612903 0.0483871
 0.0483871  0.06451613 0.08064516 0.08064516 0.14516129 0.14516129
 0.14516129 0.14516129 0.19354839 0.27419355 0.35483871 0.35483871
 0.37096774 0.38709677 0.48387097 0.58064516 0.66129032 0.72580645
 0.79032258 0.9516129  0.96774194 0.96774194 1.        ]","[0.         0.21259843 0.36220472 0.44094488 0.48031496 0.51968504
 0.5511811  0.61417323 0.62204724 0.64566929 0.65354331 0.67716535
 0.69291339 0.71653543 0.76377953 0.80314961 0.83464567 0.86614173
 0.87401575 0.90551181 0.91338583 0.91338583 0.92125984 0.95275591
 0.97637795 0.97637795 0.98425197 1.         1.        ]",0.8511557023114046,0.8571428571428571,0.8031496062992126,0.8292682926829269,0.8031496062992126,0.7258064516129032,0.764478028956058,0.7777777777777779,0.7634992900208433,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B98BC4DE80>,KNeighborsClassifier,"{'n_neighbors': 29, 'p': 1, 'weights': 'uniform'}",1
7,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.09677419
 0.09677419 0.12903226 0.12903226 0.14516129 0.14516129 0.16129032
 0.16129032 0.19354839 0.19354839 0.22580645 0.22580645 0.24193548
 0.24193548 0.25806452 0.25806452 0.30645161 0.30645161 0.33870968
 0.33870968 0.35483871 0.35483871 0.37096774 0.37096774 0.40322581
 0.40322581 0.43548387 0.43548387 0.4516129  0.4516129  0.46774194
 0.46774194 0.48387097 0.48387097 0.5        0.5        0.51612903
 0.51612903 0.53225806 0.53225806 0.75806452 0.75806452 0.90322581
 0.90322581 0.91935484 0.91935484 0.93548387 0.93548387 1.        ]","[0.         0.00787402 0.33858268 0.33858268 0.37795276 0.37795276
 0.45669291 0.45669291 0.58267717 0.58267717 0.63779528 0.63779528
 0.68503937 0.68503937 0.69291339 0.69291339 0.7007874  0.7007874
 0.73228346 0.73228346 0.76377953 0.76377953 0.77952756 0.77952756
 0.80314961 0.80314961 0.82677165 0.82677165 0.84251969 0.84251969
 0.8503937  0.8503937  0.86614173 0.86614173 0.87401575 0.87401575
 0.8976378  0.8976378  0.90551181 0.90551181 0.91338583 0.91338583
 0.92125984 0.92125984 0.93700787 0.93700787 0.94488189 0.94488189
 0.96062992 0.96062992 0.96850394 0.96850394 0.97637795 0.97637795
 0.98425197 0.98425197 0.99212598 0.99212598 1.         1.        ]",0.8661417322834646,0.8857142857142857,0.7322834645669292,0.8017241379310345,0.7322834645669292,0.8064516129032258,0.7693675387350775,0.7566137566137566,0.7684732793678399,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B984DFC3A0>,RandomForestClassifier,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.25, 'min_samples_leaf': 6, 'n_estimators': 25, 'oob_score': True, 'random_state': 3}",1
8,"[0.         0.01612903 0.01612903 0.01612903 0.01612903 0.01612903
 0.03225806 0.03225806 0.03225806 0.0483871  0.0483871  0.06451613
 0.06451613 0.08064516 0.08064516 0.08064516 0.09677419 0.14516129
 0.16129032 0.16129032 0.19354839 0.20967742 0.22580645 0.22580645
 0.27419355 0.30645161 0.30645161 0.32258065 0.33870968 0.33870968
 0.33870968 0.37096774 0.43548387 0.48387097 0.51612903 0.58064516
 0.62903226 0.77419355 0.79032258 0.82258065 0.87096774 0.90322581
 0.9516129  0.9516129  1.        ]","[0.         0.19685039 0.23622047 0.24409449 0.25984252 0.2992126
 0.32283465 0.33070866 0.37007874 0.38582677 0.40944882 0.46456693
 0.48818898 0.5511811  0.55905512 0.57480315 0.60629921 0.62992126
 0.64566929 0.65354331 0.70866142 0.74015748 0.76377953 0.77165354
 0.78740157 0.81102362 0.81889764 0.81889764 0.84251969 0.85826772
 0.88188976 0.88188976 0.88188976 0.90551181 0.93700787 0.94488189
 0.94488189 0.95275591 0.96850394 0.96850394 0.97637795 0.97637795
 0.98425197 0.99212598 1.        ]",0.8371221742443484,0.8924731182795699,0.6535433070866141,0.7545454545454546,0.6535433070866141,0.8387096774193549,0.7461264922529844,0.7142857142857142,0.740360112557526,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B98BE30FA0>,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 17, 'random_state': 3, 'splitter': 'random'}",1
9,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.12903226 0.12903226 0.14516129
 0.14516129 0.16129032 0.16129032 0.17741935 0.17741935 0.19354839
 0.19354839 0.20967742 0.20967742 0.24193548 0.24193548 0.25806452
 0.25806452 0.32258065 0.32258065 0.35483871 0.35483871 0.38709677
 0.38709677 0.40322581 0.40322581 0.41935484 0.41935484 0.46774194
 0.46774194 0.48387097 0.48387097 0.61290323 0.61290323 0.66129032
 0.66129032 0.79032258 0.79032258 0.82258065 0.82258065 0.88709677
 0.88709677 0.91935484 0.91935484 1.        ]","[0.         0.00787402 0.03937008 0.03937008 0.24409449 0.24409449
 0.2992126  0.2992126  0.37007874 0.37007874 0.41732283 0.41732283
 0.4488189  0.4488189  0.66929134 0.66929134 0.67716535 0.67716535
 0.69291339 0.69291339 0.75590551 0.75590551 0.77952756 0.77952756
 0.78740157 0.78740157 0.84251969 0.84251969 0.8503937  0.8503937
 0.85826772 0.85826772 0.87401575 0.87401575 0.90551181 0.90551181
 0.91338583 0.91338583 0.92125984 0.92125984 0.92913386 0.92913386
 0.93700787 0.93700787 0.95275591 0.95275591 0.96062992 0.96062992
 0.96850394 0.96850394 0.97637795 0.97637795 0.98425197 0.98425197
 0.99212598 0.99212598 1.         1.        ]",0.8558547117094234,0.872,0.8582677165354331,0.8650793650793651,0.8582677165354331,0.7419354838709677,0.8001016002032004,0.8201058201058201,0.7979845070918026,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B98BE08310>,SVC,"{'C': 10.0, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly', 'probability': True, 'random_state': 3}",1
