,fpr,tpr,auc,precision,recall,f1,sensitivity,specificity,macro_acc,micro_acc,g_mean,confusion_matrix,model_name,best_params,fold
0,"[0.         0.01612903 0.01612903 0.01612903 0.01612903 0.01612903
 0.01612903 0.01612903 0.03225806 0.0483871  0.0483871  0.08064516
 0.08064516 0.12903226 0.17741935 0.19354839 0.24193548 0.27419355
 0.29032258 0.33870968 0.40322581 0.43548387 0.48387097 0.53225806
 0.61290323 0.64516129 0.75806452 0.82258065 0.91935484 1.        ]","[0.         0.19685039 0.36220472 0.49606299 0.54330709 0.58267717
 0.60629921 0.64566929 0.66929134 0.66929134 0.69291339 0.7007874
 0.72440945 0.7480315  0.76377953 0.78740157 0.80314961 0.82677165
 0.83464567 0.85826772 0.87401575 0.88976378 0.92125984 0.92913386
 0.93700787 0.95275591 0.96850394 0.99212598 0.99212598 1.        ]",0.8759842519685039,0.8928571428571429,0.7874015748031497,0.8368200836820084,0.7874015748031497,0.8064516129032258,0.7969265938531878,0.7936507936507937,0.7968696693955292,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001EA3C0ACD00>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 29, 'kneighborsclassifier__p': 1, 'kneighborsclassifier__weights': 'uniform'}",0
1,"[0.         0.         0.         0.         0.         0.
 0.         0.01612903 0.01612903 0.03225806 0.03225806 0.0483871
 0.0483871  0.06451613 0.06451613 0.08064516 0.08064516 0.09677419
 0.09677419 0.12903226 0.12903226 0.14516129 0.14516129 0.17741935
 0.17741935 0.20967742 0.20967742 0.22580645 0.22580645 0.27419355
 0.27419355 0.30645161 0.30645161 0.32258065 0.32258065 0.33870968
 0.33870968 0.37096774 0.40322581 0.41935484 0.41935484 0.48387097
 0.48387097 0.5        0.5        0.5483871  0.5483871  0.62903226
 0.62903226 0.64516129 0.64516129 0.66129032 0.66129032 0.74193548
 0.74193548 0.82258065 0.82258065 0.88709677 0.88709677 1.
 1.        ]","[0.         0.01574803 0.03149606 0.04724409 0.05511811 0.07874016
 0.33858268 0.33858268 0.57480315 0.57480315 0.60629921 0.60629921
 0.69291339 0.69291339 0.7007874  0.7007874  0.71653543 0.71653543
 0.77165354 0.77165354 0.79527559 0.79527559 0.80314961 0.80314961
 0.81102362 0.81102362 0.82677165 0.82677165 0.83464567 0.83464567
 0.84251969 0.84251969 0.85826772 0.85826772 0.86614173 0.86614173
 0.88976378 0.88976378 0.88976378 0.88976378 0.8976378  0.8976378
 0.90551181 0.90551181 0.91338583 0.91338583 0.93700787 0.93700787
 0.94488189 0.94488189 0.96062992 0.96062992 0.96850394 0.96850394
 0.97637795 0.97637795 0.98425197 0.98425197 0.99212598 0.99212598
 1.        ]",0.8841757683515368,0.9181818181818182,0.7952755905511811,0.8523206751054853,0.7952755905511811,0.8548387096774194,0.8250571501143003,0.8148148148148149,0.8245194719742641,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001EA41E8FEB0>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.25, 'randomforestclassifier__min_samples_leaf': 11, 'randomforestclassifier__n_estimators': 20, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",0
2,"[0.         0.0483871  0.0483871  0.0483871  0.0483871  0.0483871
 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516 0.08064516
 0.08064516 0.09677419 0.14516129 0.14516129 0.19354839 0.19354839
 0.22580645 0.24193548 0.30645161 0.33870968 0.37096774 0.37096774
 0.38709677 0.40322581 0.41935484 0.5483871  0.59677419 0.61290323
 0.64516129 0.64516129 0.67741935 0.74193548 0.79032258 0.80645161
 0.85483871 0.85483871 0.88709677 0.88709677 0.90322581 1.        ]","[0.         0.34645669 0.41732283 0.47244094 0.51968504 0.5511811
 0.56692913 0.57480315 0.5984252  0.61417323 0.63779528 0.67716535
 0.69291339 0.72440945 0.74015748 0.78740157 0.78740157 0.81889764
 0.82677165 0.83464567 0.83464567 0.84251969 0.84251969 0.8503937
 0.8503937  0.86614173 0.87401575 0.87401575 0.88976378 0.91338583
 0.92913386 0.93700787 0.95275591 0.95275591 0.95275591 0.96062992
 0.96062992 0.96850394 0.98425197 0.99212598 0.99212598 1.        ]",0.8460756921513843,0.8760330578512396,0.8346456692913385,0.8548387096774192,0.8346456692913385,0.7580645161290323,0.7963550927101855,0.8095238095238095,0.7954340107328394,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001EA3F46F730>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 29, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",0
3,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.06451613 0.06451613 0.08064516 0.08064516 0.09677419
 0.09677419 0.11290323 0.11290323 0.12903226 0.12903226 0.16129032
 0.16129032 0.17741935 0.17741935 0.20967742 0.20967742 0.24193548
 0.24193548 0.25806452 0.25806452 0.29032258 0.29032258 0.32258065
 0.32258065 0.33870968 0.33870968 0.37096774 0.37096774 0.40322581
 0.40322581 0.46774194 0.46774194 0.53225806 0.53225806 0.61290323
 0.61290323 0.77419355 0.77419355 0.80645161 0.80645161 0.88709677
 0.88709677 0.9516129  0.9516129  1.        ]","[0.         0.00787402 0.43307087 0.43307087 0.59055118 0.59055118
 0.60629921 0.60629921 0.7007874  0.7007874  0.71653543 0.71653543
 0.73228346 0.73228346 0.7480315  0.7480315  0.79527559 0.79527559
 0.80314961 0.80314961 0.81889764 0.81889764 0.82677165 0.82677165
 0.83464567 0.83464567 0.84251969 0.84251969 0.86614173 0.86614173
 0.88188976 0.88188976 0.91338583 0.91338583 0.93700787 0.93700787
 0.94488189 0.94488189 0.95275591 0.95275591 0.96062992 0.96062992
 0.96850394 0.96850394 0.97637795 0.97637795 0.98425197 0.98425197
 0.99212598 0.99212598 1.         1.        ]",0.8963677927355855,0.9099099099099099,0.7952755905511811,0.8487394957983194,0.7952755905511811,0.8387096774193549,0.816992633985268,0.8095238095238095,0.8167039451420987,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001EA41B46D60>,SVC,"{'svc__C': 0.2, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly', 'svc__probability': True, 'svc__random_state': 3}",0
4,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.16129032 0.16129032 0.17741935
 0.17741935 0.20967742 0.20967742 0.22580645 0.22580645 0.24193548
 0.24193548 0.25806452 0.25806452 0.27419355 0.27419355 0.30645161
 0.30645161 0.32258065 0.32258065 0.35483871 0.35483871 0.4516129
 0.4516129  0.48387097 0.48387097 0.53225806 0.53225806 0.59677419
 0.59677419 0.77419355 0.77419355 0.90322581 0.90322581 0.91935484
 0.91935484 1.        ]","[0.         0.00787402 0.45669291 0.45669291 0.52755906 0.52755906
 0.63779528 0.63779528 0.72440945 0.72440945 0.7480315  0.7480315
 0.77165354 0.77165354 0.80314961 0.80314961 0.81102362 0.81102362
 0.81889764 0.81889764 0.82677165 0.82677165 0.83464567 0.83464567
 0.8503937  0.8503937  0.88188976 0.88188976 0.8976378  0.8976378
 0.90551181 0.90551181 0.92125984 0.92125984 0.93700787 0.93700787
 0.94488189 0.94488189 0.95275591 0.95275591 0.96062992 0.96062992
 0.96850394 0.96850394 0.97637795 0.97637795 0.99212598 0.99212598
 1.         1.        ]",0.9053848107696215,0.9444444444444444,0.8031496062992126,0.8680851063829786,0.8031496062992126,0.9032258064516129,0.8531877063754127,0.835978835978836,0.8517191149967821,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001EA419924F0>,MLPClassifier,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (14,), 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__random_state': 3, 'mlpclassifier__solver': 'adam'}",0
5,"[0.         0.         0.         0.         0.         0.01612903
 0.01612903 0.03225806 0.03225806 0.0483871  0.0483871  0.06451613
 0.06451613 0.08064516 0.08064516 0.09677419 0.09677419 0.11290323
 0.11290323 0.14516129 0.14516129 0.19354839 0.19354839 0.20967742
 0.20967742 0.24193548 0.24193548 0.25806452 0.25806452 0.27419355
 0.27419355 0.30645161 0.30645161 0.32258065 0.32258065 0.35483871
 0.35483871 0.41935484 0.41935484 0.43548387 0.43548387 0.4516129
 0.4516129  0.48387097 0.48387097 0.56451613 0.56451613 0.61290323
 0.61290323 0.67741935 0.67741935 0.69354839 0.69354839 0.75806452
 0.75806452 0.91935484 0.91935484 1.        ]","[0.         0.00787402 0.27559055 0.29133858 0.55905512 0.55905512
 0.60629921 0.60629921 0.64566929 0.64566929 0.71653543 0.71653543
 0.7480315  0.7480315  0.77952756 0.77952756 0.79527559 0.79527559
 0.80314961 0.80314961 0.82677165 0.82677165 0.83464567 0.83464567
 0.84251969 0.84251969 0.8503937  0.8503937  0.85826772 0.85826772
 0.86614173 0.86614173 0.87401575 0.87401575 0.88188976 0.88188976
 0.8976378  0.8976378  0.92125984 0.92125984 0.92913386 0.92913386
 0.93700787 0.93700787 0.94488189 0.94488189 0.95275591 0.95275591
 0.96850394 0.96850394 0.97637795 0.97637795 0.98425197 0.98425197
 0.99212598 0.99212598 1.         1.        ]",0.905511811023622,0.9051724137931034,0.8267716535433071,0.8641975308641975,0.8267716535433071,0.8225806451612904,0.8246761493522987,0.8253968253968254,0.8246734870072642,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001EA41BCFB50>,GradientBoostingClassifier,"{'gradientboostingclassifier__learning_rate': 0.1, 'gradientboostingclassifier__loss': 'exponential', 'gradientboostingclassifier__max_depth': 3, 'gradientboostingclassifier__min_samples_leaf': 16, 'gradientboostingclassifier__random_state': 3}",0
6,"[0.         0.         0.01612903 0.01612903 0.01612903 0.01612903
 0.01612903 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.11290323 0.12903226 0.14516129 0.19354839 0.24193548
 0.25806452 0.25806452 0.32258065 0.43548387 0.48387097 0.5483871
 0.66129032 0.85483871 0.90322581 0.98387097 1.        ]","[0.         0.16535433 0.26771654 0.35433071 0.4015748  0.46456693
 0.47244094 0.48818898 0.51181102 0.54330709 0.55905512 0.58267717
 0.62204724 0.64566929 0.65354331 0.66929134 0.70866142 0.76377953
 0.77952756 0.84251969 0.88976378 0.8976378  0.8976378  0.91338583
 0.92913386 0.96850394 0.98425197 0.99212598 1.        ]",0.8489966979933958,0.9042553191489362,0.6692913385826772,0.7692307692307692,0.6692913385826772,0.8548387096774194,0.7620650241300483,0.7301587301587302,0.756396816672498,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001EA41BCFB80>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__p': 1, 'kneighborsclassifier__weights': 'uniform'}",1
7,"[0.         0.         0.         0.         0.         0.01612903
 0.01612903 0.03225806 0.03225806 0.0483871  0.0483871  0.06451613
 0.06451613 0.08064516 0.08064516 0.12903226 0.12903226 0.14516129
 0.14516129 0.16129032 0.16129032 0.17741935 0.17741935 0.19354839
 0.19354839 0.20967742 0.20967742 0.22580645 0.22580645 0.24193548
 0.24193548 0.30645161 0.30645161 0.32258065 0.32258065 0.33870968
 0.33870968 0.35483871 0.35483871 0.41935484 0.41935484 0.43548387
 0.43548387 0.4516129  0.4516129  0.5        0.5        0.56451613
 0.56451613 0.58064516 0.58064516 0.59677419 0.59677419 0.67741935
 0.67741935 0.82258065 0.82258065 0.83870968 0.83870968 0.90322581
 0.90322581 0.93548387 0.93548387 1.        ]","[0.         0.00787402 0.09448819 0.11023622 0.39370079 0.39370079
 0.43307087 0.43307087 0.50393701 0.50393701 0.51968504 0.51968504
 0.63779528 0.63779528 0.65354331 0.65354331 0.66929134 0.66929134
 0.67716535 0.67716535 0.68503937 0.68503937 0.72440945 0.72440945
 0.74015748 0.74015748 0.78740157 0.78740157 0.83464567 0.83464567
 0.8503937  0.8503937  0.85826772 0.85826772 0.86614173 0.86614173
 0.87401575 0.87401575 0.88188976 0.88188976 0.91338583 0.91338583
 0.92125984 0.92125984 0.92913386 0.92913386 0.93700787 0.93700787
 0.94488189 0.94488189 0.95275591 0.95275591 0.96062992 0.96062992
 0.96850394 0.96850394 0.97637795 0.97637795 0.98425197 0.98425197
 0.99212598 0.99212598 1.         1.        ]",0.8674117348234696,0.8846153846153846,0.7244094488188977,0.7965367965367965,0.7244094488188977,0.8064516129032258,0.7654305308610617,0.7513227513227514,0.7643305360917728,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001EA415B0550>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.2, 'randomforestclassifier__min_samples_leaf': 11, 'randomforestclassifier__n_estimators': 25, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",1
8,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.01612903 0.01612903 0.01612903 0.03225806
 0.0483871  0.06451613 0.09677419 0.11290323 0.14516129 0.16129032
 0.17741935 0.17741935 0.24193548 0.27419355 0.27419355 0.32258065
 0.37096774 0.38709677 0.38709677 0.38709677 0.38709677 0.40322581
 0.48387097 0.51612903 0.51612903 0.58064516 0.59677419 0.61290323
 0.64516129 0.69354839 0.70967742 0.74193548 0.74193548 0.80645161
 0.85483871 0.87096774 0.90322581 0.9516129  1.        ]","[0.         0.24409449 0.26771654 0.30708661 0.32283465 0.33070866
 0.38582677 0.40944882 0.40944882 0.43307087 0.48031496 0.50393701
 0.53543307 0.5511811  0.56692913 0.60629921 0.64566929 0.66141732
 0.66141732 0.7007874  0.71653543 0.72440945 0.74015748 0.77165354
 0.77952756 0.78740157 0.83464567 0.86614173 0.87401575 0.87401575
 0.88188976 0.88188976 0.90551181 0.90551181 0.92125984 0.92125984
 0.92913386 0.94488189 0.95275591 0.95275591 0.96850394 0.96850394
 0.97637795 0.97637795 0.98425197 0.98425197 1.        ]",0.8314071628143255,0.8440366972477065,0.7244094488188977,0.7796610169491526,0.7244094488188977,0.7258064516129032,0.7251079502159005,0.7248677248677249,0.7251076137802603,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001EA43D9D6A0>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 25, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",1
9,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.06451613 0.06451613 0.08064516 0.08064516 0.09677419
 0.09677419 0.11290323 0.11290323 0.12903226 0.12903226 0.14516129
 0.14516129 0.16129032 0.16129032 0.17741935 0.17741935 0.19354839
 0.19354839 0.20967742 0.20967742 0.22580645 0.22580645 0.24193548
 0.24193548 0.25806452 0.25806452 0.29032258 0.29032258 0.30645161
 0.30645161 0.33870968 0.33870968 0.35483871 0.35483871 0.38709677
 0.38709677 0.40322581 0.40322581 0.41935484 0.41935484 0.43548387
 0.43548387 0.4516129  0.4516129  0.46774194 0.46774194 0.5
 0.5        0.53225806 0.53225806 0.69354839 0.69354839 0.70967742
 0.70967742 0.85483871 0.85483871 0.91935484 0.91935484 1.        ]","[0.         0.00787402 0.25984252 0.25984252 0.2992126  0.2992126
 0.53543307 0.53543307 0.58267717 0.58267717 0.5984252  0.5984252
 0.65354331 0.65354331 0.66141732 0.66141732 0.67716535 0.67716535
 0.69291339 0.69291339 0.70866142 0.70866142 0.77165354 0.77165354
 0.80314961 0.80314961 0.81102362 0.81102362 0.81889764 0.81889764
 0.82677165 0.82677165 0.83464567 0.83464567 0.84251969 0.84251969
 0.87401575 0.87401575 0.88188976 0.88188976 0.88976378 0.88976378
 0.90551181 0.90551181 0.91338583 0.91338583 0.92125984 0.92125984
 0.92913386 0.92913386 0.93700787 0.93700787 0.94488189 0.94488189
 0.95275591 0.95275591 0.96062992 0.96062992 0.96850394 0.96850394
 0.97637795 0.97637795 0.99212598 0.99212598 1.         1.        ]",0.8691897383794768,0.9148936170212766,0.6771653543307087,0.7782805429864255,0.6771653543307087,0.8709677419354839,0.7740665481330963,0.7407407407407407,0.7679773301200753,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001EA43A3F2B0>,SVC,"{'svc__C': 0.2, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly', 'svc__probability': True, 'svc__random_state': 3}",1
