,HoeffdingTreeClassifier
0,0.61
1,0.609
2,0.609
3,0.605
4,0.603
5,0.598
6,0.599
7,0.645
8,0.664
9,0.667
10,0.668
11,0.667
12,0.67
13,0.669
14,0.673
15,0.673
16,0.672
17,0.671
18,0.67
19,0.671
20,0.672
21,0.671
22,0.671
23,0.67
24,0.671
25,0.671
26,0.672
27,0.671
28,0.671
29,0.671
30,0.673
31,0.697
32,0.694
33,0.691
34,0.69
35,0.688
36,0.688
37,0.688
38,0.687
39,0.688
40,0.69
41,0.69
42,0.69
43,0.688
44,0.69
45,0.69
46,0.689
47,0.688
48,0.689
49,0.69
50,0.69
51,0.69
52,0.688
53,0.686
54,0.688
55,0.7
56,0.703
57,0.703
58,0.703
59,0.705
60,0.704
61,0.704
62,0.705
63,0.705
64,0.701
65,0.702
66,0.717
67,0.726
68,0.726
69,0.728
70,0.727
71,0.729
72,0.728
73,0.729
74,0.729
75,0.728
76,0.728
77,0.727
78,0.727
79,0.726
80,0.727
81,0.727
82,0.728
83,0.728
84,0.729
85,0.729
86,0.729
87,0.729
88,0.729
89,0.73
90,0.731
91,0.731
92,0.73
93,0.728
94,0.733
95,0.741
96,0.742
97,0.742
98,0.742
99,0.742
100,0.739
101,0.738
102,0.737
103,0.737
104,0.737
105,0.737
106,0.737
107,0.737
108,0.737
109,0.752
110,0.752
111,0.755
112,0.756
113,0.759
114,0.76
115,0.762
116,0.761
117,0.761
118,0.761
119,0.766
120,0.771
121,0.772
122,0.776
123,0.774
124,0.774
125,0.774
126,0.774
127,0.774
128,0.773
129,0.773
130,0.773
131,0.773
132,0.773
133,0.774
134,0.775
135,0.774
136,0.776
137,0.776
138,0.776
139,0.769
140,0.762
141,0.767
142,0.768
143,0.769
144,0.769
145,0.77
146,0.77
147,0.769
148,0.77
149,0.77
150,0.769
151,0.769
152,0.769
153,0.769
154,0.769
155,0.768
156,0.77
157,0.78
158,0.788
159,0.794
160,0.796
161,0.795
162,0.795
163,0.795
164,0.796
165,0.797
166,0.797
167,0.797
168,0.796
169,0.796
170,0.795
171,0.798
172,0.798
173,0.797
174,0.797
175,0.797
176,0.797
177,0.802
178,0.804
179,0.804
180,0.804
181,0.805
182,0.805
183,0.805
184,0.805
185,0.805
186,0.804
187,0.805
188,0.8
189,0.807
190,0.809
191,0.808
192,0.807
193,0.807
194,0.807
195,0.807
196,0.806
197,0.805
198,0.805
199,0.804
200,0.805
201,0.805
202,0.805
203,0.805
204,0.803
205,0.803
206,0.801
207,0.802
208,0.805
209,0.804
210,0.803
211,0.803
212,0.804
213,0.803
214,0.802
215,0.802
216,0.802
217,0.799
218,0.799
219,0.788
220,0.801
221,0.8
222,0.799
223,0.799
224,0.798
225,0.798
226,0.797
227,0.797
228,0.795
229,0.795
230,0.795
231,0.796
232,0.797
233,0.797
234,0.798
235,0.8
236,0.802
237,0.805
