,MajorityClassClassifier
0,0.191
1,0.191
2,0.191
3,0.191
4,0.191
5,0.191
6,0.191
7,0.19
8,0.196
9,0.196
10,0.196
11,0.196
12,0.196
13,0.196
14,0.196
15,0.196
16,0.196
17,0.197
18,0.198
19,0.199
20,0.199
21,0.199
22,0.199
23,0.199
24,0.199
25,0.199
26,0.199
27,0.199
28,0.199
29,0.199
30,0.2
31,0.2
32,0.2
33,0.2
34,0.2
35,0.2
36,0.201
37,0.201
38,0.202
39,0.203
40,0.203
41,0.203
42,0.203
43,0.203
44,0.203
45,0.202
46,0.202
47,0.202
48,0.202
49,0.203
50,0.203
51,0.204
52,0.204
53,0.204
54,0.204
55,0.204
56,0.204
57,0.204
58,0.204
59,0.204
60,0.204
61,0.205
62,0.204
63,0.204
64,0.205
65,0.205
66,0.205
67,0.205
68,0.205
69,0.204
70,0.204
71,0.204
72,0.204
73,0.204
74,0.204
75,0.203
76,0.203
77,0.204
78,0.204
79,0.204
80,0.205
81,0.205
82,0.206
83,0.206
84,0.205
85,0.205
86,0.205
87,0.205
88,0.205
89,0.205
90,0.205
91,0.206
92,0.206
93,0.206
94,0.206
95,0.206
96,0.206
97,0.207
98,0.207
99,0.207
100,0.207
101,0.206
102,0.206
103,0.206
104,0.206
105,0.206
106,0.206
107,0.207
108,0.206
109,0.207
110,0.207
111,0.207
112,0.207
113,0.206
114,0.206
115,0.206
116,0.206
117,0.207
118,0.207
119,0.208
120,0.209
121,0.209
122,0.209
123,0.209
124,0.209
125,0.209
126,0.21
127,0.21
128,0.21
129,0.21
130,0.21
131,0.21
132,0.211
133,0.211
134,0.211
135,0.211
136,0.211
137,0.211
138,0.211
139,0.21
140,0.21
141,0.21
142,0.21
143,0.21
144,0.21
145,0.21
146,0.21
147,0.21
148,0.211
149,0.211
150,0.212
151,0.213
152,0.213
153,0.212
154,0.212
155,0.212
156,0.212
157,0.211
158,0.21
159,0.209
160,0.209
161,0.209
162,0.209
163,0.209
164,0.209
165,0.209
166,0.209
167,0.209
168,0.209
169,0.209
170,0.208
171,0.209
172,0.208
173,0.208
174,0.209
175,0.21
176,0.209
177,0.209
178,0.21
179,0.21
180,0.209
181,0.21
182,0.211
183,0.211
184,0.211
185,0.212
186,0.213
187,0.212
188,0.212
189,0.212
190,0.212
191,0.212
192,0.212
193,0.211
194,0.21
195,0.211
196,0.211
197,0.211
198,0.212
199,0.211
200,0.21
201,0.211
202,0.211
203,0.211
204,0.211
205,0.211
206,0.211
207,0.211
208,0.211
209,0.211
210,0.211
211,0.212
212,0.211
213,0.211
214,0.212
215,0.212
216,0.212
217,0.212
218,0.212
219,0.211
220,0.211
221,0.211
222,0.212
223,0.211
224,0.21
225,0.211
226,0.211
227,0.212
228,0.212
229,0.212
230,0.212
231,0.211
232,0.211
233,0.212
234,0.212
235,0.212
236,0.212
237,0.213
238,0.214
239,0.214
240,0.214
241,0.215
242,0.216
243,0.217
244,0.217
245,0.217
246,0.216
247,0.216
248,0.216
249,0.216
250,0.215
251,0.216
252,0.216
253,0.216
254,0.216
255,0.216
256,0.216
257,0.216
258,0.216
259,0.216
260,0.215
261,0.215
262,0.215
263,0.215
264,0.215
265,0.215
266,0.215
267,0.216
268,0.216
269,0.217
270,0.217
271,0.217
272,0.217
273,0.217
274,0.218
275,0.217
276,0.217
277,0.216
278,0.216
279,0.215
280,0.216
281,0.217
282,0.218
283,0.218
284,0.218
285,0.218
286,0.218
287,0.218
288,0.218
289,0.217
290,0.218
291,0.218
292,0.218
293,0.219
294,0.219
295,0.22
296,0.219
297,0.219
298,0.219
299,0.219
300,0.219
301,0.219
302,0.219
303,0.219
304,0.22
305,0.22
306,0.22
307,0.22
308,0.22
309,0.219
310,0.219
311,0.219
312,0.219
313,0.219
314,0.22
315,0.22
316,0.22
317,0.22
318,0.221
319,0.221
320,0.221
321,0.22
322,0.22
323,0.22
324,0.221
325,0.221
326,0.222
327,0.223
328,0.223
329,0.222
330,0.222
331,0.223
332,0.222
333,0.222
334,0.222
335,0.222
336,0.223
337,0.223
338,0.223
339,0.223
340,0.224
341,0.224
342,0.224
343,0.224
344,0.224
345,0.223
346,0.223
347,0.223
348,0.222
349,0.223
350,0.224
351,0.224
352,0.224
353,0.224
354,0.224
355,0.224
356,0.224
357,0.224
358,0.224
359,0.224
360,0.223
361,0.223
362,0.223
363,0.222
364,0.222
365,0.222
366,0.221
367,0.221
368,0.222
369,0.221
370,0.221
371,0.221
372,0.222
373,0.222
374,0.222
375,0.222
376,0.222
377,0.221
378,0.222
379,0.222
380,0.222
381,0.221
382,0.221
383,0.221
384,0.221
385,0.221
386,0.221
387,0.22
388,0.221
389,0.221
390,0.221
391,0.221
392,0.222
393,0.221
394,0.221
395,0.222
396,0.222
397,0.221
398,0.22
399,0.22
400,0.22
401,0.219
402,0.218
403,0.218
404,0.218
405,0.218
406,0.218
407,0.218
408,0.218
409,0.218
410,0.218
411,0.219
412,0.219
413,0.218
414,0.218
415,0.219
416,0.219
417,0.218
418,0.218
419,0.217
420,0.217
421,0.217
422,0.216
423,0.216
424,0.216
425,0.216
426,0.216
427,0.216
428,0.217
429,0.216
430,0.216
431,0.216
432,0.216
433,0.216
434,0.216
435,0.216
436,0.215
437,0.215
438,0.215
439,0.215
440,0.216
441,0.216
442,0.216
443,0.215
444,0.215
445,0.215
446,0.215
447,0.215
448,0.215
449,0.216
450,0.216
451,0.216
452,0.215
453,0.215
454,0.215
455,0.214
456,0.214
457,0.215
458,0.214
459,0.214
460,0.215
461,0.215
462,0.215
463,0.215
464,0.215
465,0.215
466,0.215
467,0.216
468,0.215
469,0.216
470,0.216
471,0.216
472,0.216
473,0.217
474,0.218
475,0.218
476,0.218
477,0.218
478,0.218
479,0.218
480,0.217
481,0.217
482,0.218
483,0.218
484,0.219
485,0.219
486,0.219
487,0.219
488,0.219
489,0.219
490,0.219
491,0.218
492,0.218
493,0.217
494,0.217
495,0.218
496,0.218
497,0.217
498,0.217
499,0.217
500,0.217
501,0.217
502,0.217
503,0.217
504,0.218
505,0.218
506,0.218
507,0.217
508,0.216
509,0.216
510,0.216
511,0.215
512,0.215
513,0.215
514,0.216
515,0.217
516,0.217
517,0.217
518,0.216
519,0.215
520,0.215
521,0.216
522,0.216
523,0.217
524,0.217
525,0.217
526,0.217
527,0.217
528,0.217
529,0.217
530,0.217
531,0.217
532,0.216
533,0.216
534,0.215
535,0.215
536,0.215
537,0.215
538,0.215
539,0.215
540,0.216
541,0.215
542,0.215
543,0.214
544,0.213
545,0.213
546,0.213
547,0.213
548,0.213
549,0.213
550,0.213
551,0.213
552,0.214
553,0.213
554,0.213
555,0.213
556,0.213
557,0.213
558,0.212
559,0.213
560,0.213
561,0.212
562,0.212
563,0.212
564,0.211
565,0.211
566,0.211
567,0.211
568,0.21
569,0.209
570,0.209
571,0.21
572,0.21
573,0.211
574,0.21
575,0.21
576,0.21
577,0.211
578,0.211
579,0.21
580,0.21
581,0.21
582,0.209
583,0.209
584,0.209
585,0.208
586,0.208
587,0.208
588,0.208
589,0.207
590,0.207
591,0.207
592,0.207
593,0.208
594,0.207
595,0.207
596,0.206
597,0.206
598,0.206
599,0.206
600,0.206
601,0.205
602,0.205
603,0.205
604,0.205
605,0.205
606,0.204
607,0.204
608,0.204
609,0.204
610,0.204
611,0.203
612,0.202
613,0.202
614,0.202
615,0.201
616,0.202
617,0.202
618,0.201
619,0.201
620,0.201
621,0.201
622,0.201
623,0.201
624,0.201
625,0.201
626,0.201
627,0.201
628,0.201
629,0.202
630,0.201
631,0.201
632,0.201
633,0.201
634,0.201
635,0.201
636,0.201
637,0.201
638,0.2
639,0.2
640,0.2
641,0.199
642,0.199
643,0.199
644,0.2
645,0.199
646,0.199
647,0.198
648,0.199
649,0.198
650,0.198
651,0.198
652,0.198
653,0.198
654,0.198
655,0.198
656,0.197
657,0.198
658,0.198
659,0.198
660,0.198
661,0.198
662,0.198
663,0.198
664,0.198
665,0.198
666,0.198
667,0.197
668,0.197
669,0.197
670,0.197
671,0.198
672,0.199
673,0.199
674,0.199
675,0.199
676,0.198
677,0.197
678,0.197
679,0.197
680,0.198
681,0.198
682,0.199
683,0.199
684,0.199
685,0.199
686,0.199
687,0.199
688,0.199
689,0.199
690,0.199
691,0.198
692,0.198
693,0.197
694,0.196
695,0.196
696,0.196
697,0.197
698,0.197
699,0.198
700,0.198
701,0.197
702,0.196
703,0.196
704,0.196
705,0.195
706,0.195
707,0.195
708,0.195
709,0.194
710,0.195
711,0.195
712,0.195
713,0.195
714,0.196
715,0.196
716,0.196
717,0.197
718,0.197
719,0.198
720,0.199
721,0.2
722,0.2
723,0.2
724,0.199
725,0.198
726,0.198
727,0.198
728,0.198
729,0.199
730,0.199
731,0.199
732,0.2
733,0.2
734,0.2
735,0.2
736,0.2
737,0.201
738,0.2
739,0.2
740,0.199
741,0.2
742,0.199
743,0.199
744,0.2
745,0.2
746,0.199
747,0.199
748,0.198
749,0.197
750,0.198
751,0.198
752,0.198
753,0.198
754,0.198
755,0.198
756,0.198
757,0.199
758,0.199
759,0.199
760,0.199
761,0.199
762,0.2
763,0.2
764,0.2
765,0.2
766,0.199
767,0.2
768,0.2
769,0.2
770,0.2
771,0.2
772,0.199
773,0.199
774,0.198
775,0.198
776,0.198
777,0.197
778,0.197
779,0.197
780,0.197
781,0.197
782,0.197
783,0.197
784,0.197
785,0.197
786,0.197
787,0.198
788,0.198
789,0.197
790,0.197
791,0.197
792,0.197
793,0.196
794,0.196
795,0.196
796,0.197
797,0.198
798,0.199
799,0.199
800,0.199
801,0.199
802,0.199
803,0.199
804,0.199
805,0.199
806,0.2
807,0.2
808,0.2
809,0.2
810,0.2
811,0.2
812,0.2
813,0.2
814,0.2
815,0.201
816,0.201
817,0.201
818,0.2
819,0.2
820,0.201
821,0.2
822,0.201
823,0.202
824,0.202
825,0.203
826,0.204
827,0.204
828,0.204
829,0.205
830,0.204
831,0.203
832,0.203
833,0.202
834,0.202
835,0.202
836,0.202
837,0.201
838,0.202
839,0.202
840,0.203
841,0.204
842,0.205
843,0.204
844,0.204
845,0.204
846,0.204
847,0.204
848,0.204
849,0.204
850,0.204
851,0.204
852,0.204
853,0.204
854,0.204
855,0.203
856,0.204
857,0.204
858,0.205
859,0.205
860,0.205
861,0.205
862,0.204
863,0.204
864,0.205
865,0.205
866,0.205
867,0.204
868,0.204
869,0.204
870,0.204
871,0.204
872,0.204
873,0.204
874,0.204
875,0.204
876,0.205
877,0.205
878,0.204
879,0.205
880,0.204
881,0.205
882,0.205
883,0.204
884,0.203
885,0.202
886,0.203
887,0.203
888,0.203
889,0.202
890,0.202
891,0.202
892,0.202
893,0.202
894,0.202
895,0.202
896,0.203
897,0.203
898,0.202
899,0.202
900,0.202
901,0.203
902,0.203
903,0.203
904,0.203
905,0.204
906,0.204
907,0.203
908,0.203
909,0.203
910,0.202
911,0.202
912,0.202
913,0.202
914,0.201
915,0.201
916,0.201
917,0.2
918,0.2
919,0.201
920,0.201
921,0.2
922,0.201
923,0.201
924,0.201
925,0.201
926,0.201
927,0.201
928,0.201
929,0.202
930,0.202
931,0.203
932,0.203
933,0.203
934,0.203
935,0.203
936,0.203
937,0.204
938,0.204
939,0.204
940,0.204
941,0.204
942,0.204
943,0.204
944,0.204
945,0.204
946,0.204
947,0.204
948,0.204
949,0.204
950,0.204
951,0.204
952,0.204
953,0.204
954,0.204
955,0.204
956,0.204
957,0.204
958,0.205
959,0.205
960,0.205
961,0.205
962,0.206
963,0.206
964,0.206
965,0.205
966,0.204
967,0.204
968,0.205
969,0.205
970,0.205
971,0.205
972,0.205
973,0.205
974,0.205
975,0.205
976,0.206
977,0.206
978,0.207
979,0.208
980,0.208
981,0.207
982,0.207
983,0.207
984,0.207
985,0.207
986,0.207
987,0.206
988,0.206
989,0.205
990,0.206
991,0.206
992,0.206
993,0.206
994,0.206
995,0.207
996,0.207
997,0.206
998,0.206
999,0.206
1000,0.205
1001,0.205
1002,0.205
1003,0.204
1004,0.203
1005,0.203
1006,0.203
1007,0.203
1008,0.203
1009,0.203
1010,0.203
1011,0.202
1012,0.202
1013,0.202
1014,0.202
1015,0.202
1016,0.202
1017,0.202
1018,0.201
1019,0.2
1020,0.201
1021,0.201
1022,0.201
1023,0.202
1024,0.202
1025,0.202
1026,0.202
1027,0.202
1028,0.202
1029,0.202
1030,0.201
1031,0.201
1032,0.201
1033,0.202
1034,0.202
1035,0.203
1036,0.203
1037,0.202
1038,0.201
1039,0.2
1040,0.2
1041,0.199
1042,0.199
1043,0.199
1044,0.199
1045,0.199
1046,0.2
1047,0.2
1048,0.2
1049,0.2
1050,0.2
1051,0.199
1052,0.2
1053,0.201
1054,0.201
1055,0.201
1056,0.201
1057,0.201
1058,0.201
1059,0.201
1060,0.201
1061,0.201
1062,0.201
1063,0.201
1064,0.2
1065,0.201
1066,0.202
1067,0.202
1068,0.202
1069,0.203
1070,0.203
1071,0.203
1072,0.203
1073,0.203
