,NoChangeClassifier
0,0.186
1,0.195
2,0.194
3,0.184
4,0.196
5,0.196
6,0.186
7,0.187
8,0.188
9,0.188
10,0.187
11,0.187
12,0.196
13,0.185
14,0.184
15,0.188
16,0.185
17,0.19
18,0.198
19,0.199
20,0.199
21,0.185
22,0.186
23,0.189
24,0.186
25,0.191
26,0.191
27,0.185
28,0.185
29,0.056
30,0.192
31,0.2
32,0.186
33,0.187
34,0.187
35,0.056
36,0.188
37,0.201
38,0.202
39,0.203
40,0.203
41,0.188
42,0.203
43,0.19
44,0.182
45,0.182
46,0.191
47,0.182
48,0.189
49,0.189
50,0.203
51,0.188
52,0.204
53,0.182
54,0.188
55,0.19
56,0.204
57,0.19
58,0.191
59,0.192
60,0.192
61,0.181
62,0.204
63,0.193
64,0.181
65,0.205
66,0.182
67,0.182
68,0.18
69,0.193
70,0.184
71,0.184
72,0.193
73,0.187
74,0.18
75,0.189
76,0.189
77,0.054
78,0.204
79,0.181
80,0.18
81,0.205
82,0.19
83,0.206
84,0.192
85,0.182
86,0.188
87,0.179
88,0.183
89,0.205
90,0.181
91,0.181
92,0.206
93,0.188
94,0.193
95,0.189
96,0.181
97,0.19
98,0.207
99,0.191
100,0.191
101,0.182
102,0.192
103,0.192
104,0.182
105,0.193
106,0.176
107,0.191
108,0.206
109,0.183
110,0.207
111,0.175
112,0.192
113,0.176
114,0.183
115,0.052
116,0.193
117,0.192
118,0.207
119,0.176
120,0.209
121,0.209
122,0.193
123,0.19
124,0.19
125,0.175
126,0.194
127,0.21
128,0.195
129,0.19
130,0.174
131,0.196
132,0.174
133,0.211
134,0.19
135,0.211
136,0.18
137,0.18
138,0.195
139,0.181
140,0.196
141,0.21
142,0.19
143,0.196
144,0.191
145,0.173
146,0.21
147,0.191
148,0.181
149,0.211
150,0.174
151,0.213
152,0.213
153,0.191
154,0.051
155,0.192
156,0.194
157,0.182
158,0.183
159,0.183
160,0.171
161,0.051
162,0.183
163,0.194
164,0.195
165,0.195
166,0.185
167,0.184
168,0.171
169,0.192
170,0.195
171,0.195
172,0.208
173,0.186
174,0.186
175,0.21
176,0.209
177,0.187
178,0.187
179,0.21
180,0.188
181,0.195
182,0.211
183,0.211
184,0.189
185,0.195
186,0.213
187,0.212
188,0.169
189,0.196
190,0.197
191,0.197
192,0.212
193,0.197
194,0.189
195,0.189
196,0.211
197,0.048
198,0.17
199,0.211
200,0.171
201,0.196
202,0.211
203,0.19
204,0.048
205,0.172
206,0.192
207,0.191
208,0.185
209,0.185
210,0.195
211,0.191
212,0.211
213,0.195
214,0.049
215,0.212
216,0.191
217,0.172
218,0.192
219,0.211
220,0.173
221,0.195
222,0.182
223,0.211
224,0.191
225,0.174
226,0.211
227,0.192
228,0.212
229,0.181
230,0.174
231,0.182
232,0.192
233,0.195
234,0.212
235,0.182
236,0.193
237,0.193
238,0.214
239,0.214
240,0.047
241,0.215
242,0.216
243,0.217
244,0.217
245,0.217
246,0.196
247,0.195
248,0.181
249,0.195
250,0.17
251,0.182
252,0.216
253,0.182
254,0.048
255,0.191
256,0.196
257,0.18
258,0.197
259,0.18
260,0.171
261,0.171
262,0.198
263,0.215
264,0.181
265,0.172
266,0.188
267,0.173
