,HoeffdingAdaptiveTreeClassifier
0,61.199999999999996
1,60.4
2,59.599999999999994
3,60.0
4,61.8
5,57.4
6,60.4
7,59.699999999999996
8,57.99999999999999
9,57.9
10,59.5
11,66.60000000000001
12,78.4
13,33.2
14,5.800000000000001
15,39.4
16,57.3
17,38.0
18,66.8
19,49.0
20,71.0
21,71.6
22,61.4
23,66.60000000000001
24,62.8
25,65.2
26,63.3
27,55.400000000000006
28,62.1
29,61.199999999999996
30,66.0
31,69.1
32,30.099999999999998
33,43.6
34,55.800000000000004
35,52.7
36,56.89999999999999
37,44.3
38,46.300000000000004
39,56.3
40,61.0
41,58.199999999999996
42,59.3
43,65.3
44,67.7
45,57.3
46,70.1
47,75.2
48,86.9
49,89.0
50,89.8
