,HoeffdingTreeClassifier
0,61.0
1,59.9
2,59.699999999999996
3,59.599999999999994
4,61.6
5,57.3
6,61.0
7,59.599999999999994
8,58.5
9,57.699999999999996
10,59.9
11,66.8
12,78.5
13,33.300000000000004
14,6.5
15,12.5
16,21.4
17,22.6
18,47.9
19,61.5
20,64.1
21,68.5
22,63.1
23,65.0
24,63.800000000000004
25,64.7
26,64.0
27,26.8
28,59.8
29,60.0
30,63.7
31,62.7
32,30.5
33,49.9
34,53.2
35,51.6
36,56.10000000000001
37,35.199999999999996
38,46.7
39,49.4
40,53.6
41,51.2
42,50.4
43,51.7
44,53.300000000000004
45,55.60000000000001
46,54.900000000000006
47,62.1
48,70.3
49,75.6
50,76.0
