,NoChangeClassifier
0,18.6
1,20.5
2,20.0
3,21.8
4,19.7
5,19.3
6,18.8
7,18.6
8,20.1
9,18.7
10,17.8
11,10.6
12,100.0
13,35.199999999999996
14,24.5
15,25.6
16,20.0
17,49.0
18,38.0
19,1.7999999999999998
20,25.7
21,25.7
22,28.000000000000004
23,23.599999999999998
24,16.2
25,25.4
26,5.8999999999999995
27,13.700000000000001
28,11.4
29,11.600000000000001
30,37.0
31,42.199999999999996
32,20.7
33,8.5
34,19.8
35,19.7
36,19.5
37,6.2
38,14.099999999999998
39,32.2
40,28.7
41,31.3
42,28.299999999999997
43,6.7
44,30.4
45,24.2
46,32.300000000000004
47,24.2
48,32.5
49,43.2
50,39.2
