,OzaBaggingClassifier
0,18.6
1,19.8
2,18.8
3,21.8
4,19.2
5,18.7
6,18.8
7,18.6
8,18.3
9,18.0
10,17.4
11,11.3
12,100.0
13,35.199999999999996
14,25.900000000000002
15,25.6
16,22.1
17,49.0
18,35.9
19,27.500000000000004
20,17.2
21,25.7
22,28.000000000000004
23,17.599999999999998
24,16.2
25,25.4
26,26.8
27,39.900000000000006
28,33.4
29,40.699999999999996
30,37.0
31,34.4
32,20.0
33,20.599999999999998
34,19.8
35,19.6
36,19.5
37,6.2
38,23.1
39,32.2
40,30.9
41,17.5
42,28.299999999999997
43,30.099999999999998
44,6.4
45,22.7
46,32.300000000000004
47,24.2
48,32.5
49,24.3
50,39.2
