,SAMKNNClassifier
0,18.6
1,20.5
2,20.0
3,21.8
4,16.900000000000002
5,18.9
6,18.8
7,18.6
8,20.1
9,18.099999999999998
10,17.4
11,11.4
12,100.0
13,35.199999999999996
14,23.7
15,25.6
16,20.0
17,49.0
18,36.0
19,27.400000000000002
20,29.5
21,28.7
22,28.000000000000004
23,23.599999999999998
24,27.400000000000002
25,25.4
26,17.1
27,39.900000000000006
28,11.4
29,40.8
30,37.0
31,34.4
32,20.0
33,18.099999999999998
34,19.8
35,19.7
36,19.5
37,6.2
38,23.1
39,32.2
40,18.8
41,17.599999999999998
42,33.5
43,6.7
44,30.4
45,22.7
46,32.300000000000004
47,24.2
48,32.5
49,24.4
50,39.2
