,AdaptiveRandomForestClassifier
0,42.9
1,57.49999999999999
2,62.0
3,57.8
4,55.00000000000001
5,50.4
6,55.1
7,58.9
8,56.00000000000001
9,59.5
10,57.8
11,54.6
12,61.6
13,61.1
14,55.50000000000001
15,63.0
16,61.5
17,62.7
18,64.7
19,62.5
20,64.60000000000001
21,65.5
22,65.9
23,63.2
24,62.9
25,65.9
26,63.0
27,66.3
28,67.30000000000001
29,64.9
30,67.4
31,65.9
32,68.8
33,65.4
34,67.0
35,66.7
36,66.2
37,63.0
38,64.1
39,63.1
40,70.39999999999999
41,68.4
42,70.89999999999999
43,70.89999999999999
44,71.2
45,70.5
46,69.39999999999999
47,69.5
48,73.8
49,72.39999999999999
50,62.1
51,67.0
52,70.5
53,69.6
54,64.4
55,67.10000000000001
