,NoChangeClassifier
0,16.6
1,16.6
2,16.8
3,16.6
4,16.5
5,16.5
6,16.900000000000002
7,16.6
8,16.3
9,16.6
10,17.0
11,16.3
12,16.6
13,16.6
14,17.1
15,16.7
16,16.6
17,16.6
18,16.8
19,16.6
20,16.3
21,16.900000000000002
22,16.6
23,16.8
24,16.0
25,16.0
26,16.2
27,16.0
28,16.5
29,16.0
30,17.0
31,16.3
32,16.5
33,16.3
34,16.6
35,16.400000000000002
36,17.1
37,16.6
38,17.1
39,16.6
40,16.0
41,16.2
42,16.7
43,17.0
44,16.5
45,16.8
46,16.400000000000002
47,16.400000000000002
48,17.0
49,17.1
50,16.1
51,17.0
52,16.3
53,16.3
54,16.900000000000002
55,16.3
