,OzaBaggingClassifier
0,16.6
1,16.7
2,16.1
3,16.2
4,16.900000000000002
5,16.5
6,16.3
7,16.7
8,17.0
9,16.6
10,16.8
11,17.0
12,16.6
13,16.6
14,16.7
15,16.3
16,16.6
17,16.7
18,16.2
19,16.7
20,16.3
21,16.6
22,16.5
23,16.6
24,16.0
25,16.1
26,16.1
27,16.8
28,16.5
29,16.400000000000002
30,16.5
31,16.3
32,16.5
33,16.3
34,16.6
35,16.400000000000002
36,17.1
37,16.6
38,17.299999999999997
39,16.6
40,16.0
41,16.400000000000002
42,17.0
43,16.5
44,16.5
45,16.8
46,16.400000000000002
47,16.400000000000002
48,16.400000000000002
49,17.2
50,16.400000000000002
51,17.0
52,16.2
53,16.3
54,16.400000000000002
55,16.3
