,SAMKNNClassifier
0,16.6
1,16.7
2,16.8
3,16.900000000000002
4,17.1
5,16.5
6,16.900000000000002
7,16.7
8,17.1
9,16.6
10,16.8
11,17.1
12,16.6
13,16.6
14,16.6
15,16.7
16,16.6
17,16.7
18,16.1
19,16.5
20,16.3
21,16.5
22,16.6
23,16.6
24,16.0
25,16.8
26,16.2
27,16.7
28,16.5
29,16.0
30,16.5
31,16.3
32,16.5
33,16.400000000000002
34,16.6
35,16.7
36,17.1
37,16.6
38,17.1
39,16.6
40,16.0
41,16.2
42,16.7
43,16.5
44,16.5
45,16.8
46,16.400000000000002
47,16.400000000000002
48,16.5
49,17.1
50,16.400000000000002
51,17.0
52,16.2
53,16.3
54,16.5
55,16.3
