,LeveragingBaggingClassifier
0,40.8
1,54.6
2,56.39999999999999
3,56.2
4,53.2
5,48.0
6,55.60000000000001
7,53.5
8,52.900000000000006
9,57.199999999999996
10,51.6
11,48.1
12,56.10000000000001
13,56.599999999999994
14,53.1
15,60.5
16,61.0
17,57.8
18,59.3
19,57.699999999999996
20,59.0
21,62.6
22,62.2
23,58.199999999999996
24,57.599999999999994
25,59.099999999999994
26,59.4
27,60.199999999999996
28,62.4
29,57.199999999999996
30,60.699999999999996
31,59.099999999999994
32,59.099999999999994
33,60.699999999999996
34,56.99999999999999
35,60.0
36,61.6
37,59.599999999999994
38,60.099999999999994
39,63.2
40,64.8
41,65.8
42,67.60000000000001
43,66.8
44,68.30000000000001
45,65.7
46,63.800000000000004
47,62.6
48,66.0
49,67.10000000000001
50,59.8
51,59.9
52,62.9
53,61.5
54,57.4
55,61.8
