,OzaBaggingClassifier
0,40.1
1,49.6
2,58.3
3,56.599999999999994
4,56.699999999999996
5,46.9
6,43.9
7,42.8
8,42.5
9,47.099999999999994
10,44.1
11,39.5
12,45.1
13,44.3
14,37.5
15,39.1
16,40.5
17,42.9
18,43.9
19,43.5
20,44.9
21,63.9
22,60.9
23,58.9
24,58.5
25,58.9
26,57.99999999999999
27,59.699999999999996
28,61.0
29,57.199999999999996
30,60.699999999999996
31,59.3
32,58.199999999999996
33,59.5
34,57.99999999999999
35,59.199999999999996
36,60.199999999999996
37,58.699999999999996
38,57.699999999999996
39,59.199999999999996
40,60.9
41,61.199999999999996
42,63.7
43,62.3
44,63.800000000000004
45,64.7
46,62.4
47,62.2
48,65.5
49,67.0
50,60.199999999999996
51,59.4
52,62.1
53,58.4
54,56.49999999999999
55,56.3
