,HoefdingTreesADWINComplete_def
0,61.0
1,59.4
2,59.699999999999996
3,59.699999999999996
4,61.3
5,57.3
6,61.1
7,59.599999999999994
8,58.599999999999994
9,57.49999999999999
10,59.4
11,66.8
12,76.4
13,35.199999999999996
14,58.8
15,61.0
16,56.3
17,68.30000000000001
18,50.6
19,63.2
20,66.2
21,67.9
22,67.30000000000001
23,66.10000000000001
24,64.0
25,65.4
26,63.6
27,54.800000000000004
28,58.699999999999996
29,57.9
30,61.0
31,60.6
32,31.7
33,37.1
34,52.0
35,53.7
36,57.49999999999999
37,45.2
38,38.4
39,61.199999999999996
40,61.3
41,58.8
42,53.800000000000004
43,57.3
44,56.39999999999999
45,55.50000000000001
46,82.19999999999999
47,83.39999999999999
48,84.7
49,82.89999999999999
50,90.2
