,HoeffdingTreeClassifier_def
0,39.900000000000006
1,47.4
2,56.99999999999999
3,55.300000000000004
4,54.50000000000001
5,45.2
6,42.9
7,43.0
8,42.3
9,46.800000000000004
10,43.6
11,39.0
12,44.800000000000004
13,44.0
14,37.3
15,38.9
16,39.7
17,42.699999999999996
18,43.1
19,42.9
20,45.0
21,59.099999999999994
22,57.199999999999996
23,54.6
24,53.0
25,55.2
26,53.400000000000006
27,55.300000000000004
28,56.49999999999999
29,54.2
30,56.89999999999999
31,54.50000000000001
32,54.7
33,58.199999999999996
34,55.900000000000006
35,54.300000000000004
36,56.00000000000001
37,53.800000000000004
38,53.900000000000006
39,55.300000000000004
40,56.99999999999999
41,55.900000000000006
42,58.3
43,58.699999999999996
44,59.4
45,61.8
46,60.099999999999994
47,58.4
48,61.1
49,62.3
50,55.60000000000001
51,55.50000000000001
52,58.199999999999996
53,54.2
54,51.1
55,55.2
