,fpr,tpr,auc,precision,recall,f1,sensitivity,specificity,macro_acc,micro_acc,g_mean,confusion_matrix,model_name,best_params,fold
0,"[0.         0.01612903 0.01612903 0.01612903 0.01612903 0.01612903
 0.01612903 0.03225806 0.06451613 0.06451613 0.09677419 0.12903226
 0.12903226 0.14516129 0.16129032 0.17741935 0.22580645 0.22580645
 0.25806452 0.27419355 0.29032258 0.29032258 0.29032258 0.32258065
 0.32258065 0.35483871 0.37096774 0.41935484 0.4516129  0.5
 0.59677419 0.72580645 0.80645161 0.90322581 0.96774194 1.        ]","[0.         0.11023622 0.18110236 0.31496063 0.40944882 0.49606299
 0.53543307 0.58267717 0.62992126 0.63779528 0.65354331 0.67716535
 0.72440945 0.7480315  0.75590551 0.77952756 0.80314961 0.82677165
 0.82677165 0.83464567 0.83464567 0.8503937  0.85826772 0.86614173
 0.8976378  0.91338583 0.92913386 0.93700787 0.94488189 0.94488189
 0.96062992 0.96850394 0.99212598 0.99212598 1.         1.        ]",0.8813182626365252,0.8823529411764706,0.8267716535433071,0.853658536585366,0.8267716535433071,0.7741935483870968,0.800482600965202,0.8095238095238095,0.8000507984887961,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022C67F1EAF0>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__p': 2, 'kneighborsclassifier__weights': 'uniform'}",0
1,"[0.         0.         0.         0.         0.         0.
 0.01612903 0.01612903 0.03225806 0.03225806 0.06451613 0.06451613
 0.09677419 0.09677419 0.11290323 0.11290323 0.12903226 0.12903226
 0.14516129 0.14516129 0.17741935 0.17741935 0.20967742 0.20967742
 0.27419355 0.27419355 0.29032258 0.29032258 0.30645161 0.30645161
 0.32258065 0.32258065 0.33870968 0.33870968 0.37096774 0.37096774
 0.38709677 0.38709677 0.40322581 0.40322581 0.41935484 0.41935484
 0.51612903 0.51612903 0.53225806 0.53225806 0.56451613 0.56451613
 0.61290323 0.61290323 0.64516129 0.64516129 0.79032258 0.79032258
 0.80645161 0.80645161 1.        ]","[0.         0.03149606 0.04724409 0.18897638 0.20472441 0.48031496
 0.48031496 0.57480315 0.57480315 0.70866142 0.70866142 0.72440945
 0.72440945 0.75590551 0.75590551 0.76377953 0.76377953 0.77165354
 0.77165354 0.77952756 0.77952756 0.79527559 0.79527559 0.82677165
 0.82677165 0.84251969 0.84251969 0.85826772 0.85826772 0.86614173
 0.86614173 0.87401575 0.87401575 0.88188976 0.88188976 0.8976378
 0.8976378  0.91338583 0.91338583 0.92125984 0.92125984 0.94488189
 0.94488189 0.95275591 0.95275591 0.96062992 0.96062992 0.96850394
 0.96850394 0.97637795 0.97637795 0.98425197 0.98425197 0.99212598
 0.99212598 1.         1.        ]",0.9009398018796038,0.8823529411764706,0.8267716535433071,0.853658536585366,0.8267716535433071,0.7741935483870968,0.800482600965202,0.8095238095238095,0.8000507984887961,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022C65EA6130>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.3, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__n_estimators': 25, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",0
2,"[0.         0.         0.         0.         0.         0.01612903
 0.03225806 0.03225806 0.06451613 0.06451613 0.08064516 0.11290323
 0.11290323 0.12903226 0.12903226 0.16129032 0.20967742 0.20967742
 0.20967742 0.20967742 0.24193548 0.25806452 0.29032258 0.32258065
 0.33870968 0.35483871 0.35483871 0.40322581 0.41935484 0.4516129
 0.4516129  0.46774194 0.59677419 0.62903226 0.67741935 0.70967742
 0.72580645 0.79032258 0.87096774 0.87096774 0.88709677 0.9516129
 1.        ]","[0.         0.25984252 0.32283465 0.37795276 0.41732283 0.45669291
 0.53543307 0.57480315 0.58267717 0.5984252  0.61417323 0.62992126
 0.66141732 0.66929134 0.67716535 0.70866142 0.70866142 0.72440945
 0.75590551 0.77165354 0.78740157 0.80314961 0.82677165 0.82677165
 0.84251969 0.84251969 0.87401575 0.87401575 0.90551181 0.91338583
 0.94488189 0.94488189 0.94488189 0.96062992 0.96062992 0.96062992
 0.96062992 0.97637795 0.97637795 0.99212598 0.99212598 0.99212598
 1.        ]",0.8651892303784607,0.8695652173913043,0.7874015748031497,0.8264462809917356,0.7874015748031497,0.7580645161290323,0.772733045466091,0.7777777777777779,0.7725938090629433,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022C618A1280>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 29, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",0
3,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.11290323 0.11290323 0.12903226 0.12903226 0.14516129
 0.14516129 0.16129032 0.16129032 0.17741935 0.17741935 0.19354839
 0.19354839 0.20967742 0.20967742 0.27419355 0.27419355 0.29032258
 0.29032258 0.30645161 0.30645161 0.32258065 0.32258065 0.33870968
 0.33870968 0.37096774 0.37096774 0.38709677 0.38709677 0.40322581
 0.40322581 0.4516129  0.4516129  0.53225806 0.53225806 0.62903226
 0.62903226 0.67741935 0.67741935 0.75806452 0.75806452 0.82258065
 0.82258065 1.        ]","[0.         0.00787402 0.28346457 0.28346457 0.4015748  0.4015748
 0.52755906 0.52755906 0.56692913 0.56692913 0.58267717 0.58267717
 0.69291339 0.69291339 0.74015748 0.74015748 0.7480315  0.7480315
 0.77165354 0.77165354 0.77952756 0.77952756 0.80314961 0.80314961
 0.81889764 0.81889764 0.82677165 0.82677165 0.84251969 0.84251969
 0.86614173 0.86614173 0.88188976 0.88188976 0.88976378 0.88976378
 0.91338583 0.91338583 0.92125984 0.92125984 0.92913386 0.92913386
 0.93700787 0.93700787 0.95275591 0.95275591 0.96062992 0.96062992
 0.97637795 0.97637795 0.98425197 0.98425197 0.99212598 0.99212598
 1.         1.        ]",0.8876047752095504,0.8956521739130435,0.8110236220472441,0.8512396694214877,0.8110236220472441,0.8064516129032258,0.808737617475235,0.8095238095238095,0.8087343866206111,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022C618A15B0>,SVC,"{'svc__C': 0.2, 'svc__degree': 0, 'svc__gamma': 'scale', 'svc__kernel': 'rbf', 'svc__probability': True, 'svc__random_state': 3}",0
4,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.09677419
 0.09677419 0.11290323 0.11290323 0.12903226 0.12903226 0.14516129
 0.14516129 0.16129032 0.16129032 0.17741935 0.17741935 0.19354839
 0.19354839 0.20967742 0.20967742 0.22580645 0.22580645 0.24193548
 0.24193548 0.32258065 0.32258065 0.37096774 0.37096774 0.41935484
 0.41935484 0.43548387 0.43548387 0.46774194 0.46774194 0.48387097
 0.48387097 0.69354839 0.69354839 0.74193548 0.74193548 0.79032258
 0.79032258 0.88709677 0.88709677 1.        ]","[0.         0.00787402 0.29133858 0.29133858 0.50393701 0.50393701
 0.55905512 0.55905512 0.65354331 0.65354331 0.7007874  0.7007874
 0.73228346 0.73228346 0.77165354 0.77165354 0.77952756 0.77952756
 0.78740157 0.78740157 0.79527559 0.79527559 0.83464567 0.83464567
 0.84251969 0.84251969 0.8503937  0.8503937  0.86614173 0.86614173
 0.88976378 0.88976378 0.8976378  0.8976378  0.90551181 0.90551181
 0.91338583 0.91338583 0.92125984 0.92125984 0.94488189 0.94488189
 0.95275591 0.95275591 0.96062992 0.96062992 0.96850394 0.96850394
 0.98425197 0.98425197 1.         1.        ]",0.8920497840995681,0.9099099099099099,0.7952755905511811,0.8487394957983194,0.7952755905511811,0.8387096774193549,0.816992633985268,0.8095238095238095,0.8167039451420987,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022C61E3DD60>,MLPClassifier,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (4,), 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__random_state': 3, 'mlpclassifier__solver': 'lbfgs'}",0
5,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.11290323 0.11290323 0.12903226 0.12903226 0.14516129
 0.14516129 0.16129032 0.16129032 0.19354839 0.19354839 0.20967742
 0.20967742 0.25806452 0.25806452 0.27419355 0.27419355 0.29032258
 0.29032258 0.30645161 0.30645161 0.32258065 0.32258065 0.33870968
 0.33870968 0.35483871 0.35483871 0.38709677 0.38709677 0.43548387
 0.43548387 0.48387097 0.48387097 0.51612903 0.51612903 0.56451613
 0.56451613 0.72580645 0.72580645 0.77419355 0.77419355 1.        ]","[0.         0.00787402 0.49606299 0.49606299 0.51181102 0.51181102
 0.57480315 0.57480315 0.60629921 0.60629921 0.73228346 0.73228346
 0.74015748 0.74015748 0.7480315  0.7480315  0.75590551 0.75590551
 0.77165354 0.77165354 0.78740157 0.78740157 0.79527559 0.79527559
 0.80314961 0.80314961 0.82677165 0.82677165 0.84251969 0.84251969
 0.87401575 0.87401575 0.88188976 0.88188976 0.90551181 0.90551181
 0.92125984 0.92125984 0.92913386 0.92913386 0.95275591 0.95275591
 0.96062992 0.96062992 0.96850394 0.96850394 0.97637795 0.97637795
 0.98425197 0.98425197 0.99212598 0.99212598 1.         1.        ]",0.9030988061976124,0.8617886178861789,0.8346456692913385,0.8480000000000001,0.8346456692913385,0.7258064516129032,0.780226060452121,0.7989417989417988,0.7783259031937863,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022C61C084C0>,GradientBoostingClassifier,"{'gradientboostingclassifier__learning_rate': 0.1, 'gradientboostingclassifier__loss': 'log_loss', 'gradientboostingclassifier__max_depth': 5, 'gradientboostingclassifier__min_samples_leaf': 11, 'gradientboostingclassifier__random_state': 3}",0
6,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.06451613 0.06451613 0.09677419 0.09677419 0.11290323
 0.11290323 0.12903226 0.12903226 0.14516129 0.14516129 0.16129032
 0.16129032 0.19354839 0.19354839 0.20967742 0.20967742 0.22580645
 0.22580645 0.24193548 0.24193548 0.25806452 0.25806452 0.27419355
 0.27419355 0.29032258 0.29032258 0.30645161 0.30645161 0.33870968
 0.33870968 0.38709677 0.38709677 0.46774194 0.46774194 0.56451613
 0.56451613 0.58064516 0.58064516 0.62903226 0.62903226 0.64516129
 0.64516129 0.72580645 0.72580645 0.77419355 0.77419355 0.79032258
 0.79032258 0.85483871 0.85483871 0.90322581 0.90322581 0.91935484
 1.        ]","[0.         0.15748031 0.25984252 0.25984252 0.40944882 0.40944882
 0.43307087 0.43307087 0.63779528 0.63779528 0.71653543 0.71653543
 0.72440945 0.72440945 0.7480315  0.7480315  0.75590551 0.75590551
 0.77165354 0.77165354 0.77952756 0.77952756 0.79527559 0.79527559
 0.81102362 0.81102362 0.81889764 0.81889764 0.82677165 0.82677165
 0.83464567 0.83464567 0.8503937  0.8503937  0.85826772 0.85826772
 0.87401575 0.87401575 0.88976378 0.88976378 0.8976378  0.8976378
 0.90551181 0.90551181 0.91338583 0.91338583 0.92913386 0.92913386
 0.93700787 0.93700787 0.94488189 0.94488189 0.95275591 0.95275591
 0.96062992 0.96062992 0.96850394 0.96850394 0.98425197 0.98425197
 1.        ]",0.8536957073914146,0.9381443298969072,0.7165354330708661,0.8125,0.7165354330708661,0.9032258064516129,0.8098806197612395,0.7777777777777777,0.8044832468029329,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022C6198DE50>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 33, 'kneighborsclassifier__p': 1, 'kneighborsclassifier__weights': 'distance'}",1
7,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.09677419 0.09677419 0.11290323 0.11290323 0.14516129 0.14516129
 0.16129032 0.16129032 0.17741935 0.17741935 0.20967742 0.20967742
 0.22580645 0.22580645 0.24193548 0.24193548 0.25806452 0.25806452
 0.30645161 0.30645161 0.32258065 0.32258065 0.33870968 0.33870968
 0.35483871 0.35483871 0.48387097 0.5        0.51612903 0.51612903
 0.58064516 0.58064516 0.64516129 0.64516129 0.67741935 0.69354839
 0.79032258 0.79032258 0.85483871 0.85483871 0.91935484 0.91935484
 0.96774194 0.96774194 1.        ]","[0.         0.00787402 0.25984252 0.25984252 0.4015748  0.4015748
 0.45669291 0.45669291 0.53543307 0.53543307 0.62992126 0.62992126
 0.63779528 0.68503937 0.68503937 0.70866142 0.70866142 0.7480315
 0.7480315  0.77952756 0.77952756 0.78740157 0.78740157 0.81889764
 0.81889764 0.82677165 0.82677165 0.83464567 0.83464567 0.84251969
 0.84251969 0.86614173 0.86614173 0.87401575 0.87401575 0.88188976
 0.88188976 0.8976378  0.8976378  0.90551181 0.90551181 0.94488189
 0.94488189 0.95275591 0.95275591 0.96062992 0.96062992 0.96850394
 0.96850394 0.97637795 0.97637795 0.98425197 0.98425197 0.99212598
 0.99212598 1.         1.        ]",0.868491236982474,0.9183673469387755,0.7086614173228346,0.8,0.7086614173228346,0.8709677419354839,0.7898145796291592,0.7619047619047619,0.7856342879753079,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022C63B10190>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.2, 'randomforestclassifier__min_samples_leaf': 31, 'randomforestclassifier__n_estimators': 25, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",1
8,"[0.         0.         0.         0.         0.         0.
 0.01612903 0.01612903 0.01612903 0.01612903 0.01612903 0.06451613
 0.06451613 0.09677419 0.09677419 0.12903226 0.14516129 0.14516129
 0.17741935 0.22580645 0.24193548 0.27419355 0.29032258 0.32258065
 0.33870968 0.35483871 0.35483871 0.38709677 0.41935484 0.43548387
 0.51612903 0.56451613 0.61290323 0.64516129 0.69354839 0.69354839
 0.72580645 0.75806452 0.75806452 0.79032258 0.82258065 0.87096774
 0.88709677 0.91935484 1.        ]","[0.         0.29133858 0.33858268 0.34645669 0.38582677 0.4015748
 0.4015748  0.42519685 0.45669291 0.48031496 0.49606299 0.53543307
 0.5511811  0.56692913 0.60629921 0.62992126 0.68503937 0.72440945
 0.73228346 0.75590551 0.76377953 0.79527559 0.81102362 0.81102362
 0.82677165 0.83464567 0.8503937  0.8503937  0.85826772 0.88188976
 0.88976378 0.91338583 0.91338583 0.91338583 0.91338583 0.92125984
 0.92125984 0.93700787 0.96062992 0.96062992 0.96850394 0.97637795
 0.97637795 0.97637795 1.        ]",0.8403606807213614,0.8559322033898306,0.7952755905511811,0.8244897959183675,0.7952755905511811,0.7258064516129032,0.7605410210820422,0.7724867724867726,0.7597474280524475,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022C618A1370>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 25, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",1
9,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.09677419
 0.09677419 0.11290323 0.11290323 0.12903226 0.12903226 0.14516129
 0.14516129 0.16129032 0.16129032 0.19354839 0.19354839 0.20967742
 0.20967742 0.22580645 0.22580645 0.24193548 0.24193548 0.25806452
 0.25806452 0.27419355 0.27419355 0.33870968 0.33870968 0.35483871
 0.35483871 0.38709677 0.38709677 0.41935484 0.41935484 0.4516129
 0.4516129  0.48387097 0.48387097 0.64516129 0.64516129 0.70967742
 0.70967742 0.77419355 0.77419355 0.90322581 0.90322581 0.96774194
 0.96774194 1.        ]","[0.         0.00787402 0.01574803 0.01574803 0.37007874 0.37007874
 0.44094488 0.44094488 0.51968504 0.51968504 0.54330709 0.54330709
 0.57480315 0.57480315 0.61417323 0.61417323 0.7007874  0.7007874
 0.70866142 0.70866142 0.73228346 0.73228346 0.75590551 0.75590551
 0.78740157 0.78740157 0.80314961 0.80314961 0.82677165 0.82677165
 0.84251969 0.84251969 0.8503937  0.8503937  0.86614173 0.86614173
 0.8976378  0.8976378  0.90551181 0.90551181 0.92125984 0.92125984
 0.92913386 0.92913386 0.94488189 0.94488189 0.96850394 0.96850394
 0.97637795 0.97637795 0.98425197 0.98425197 0.99212598 0.99212598
 1.         1.        ]",0.8573787147574294,0.8942307692307693,0.7322834645669292,0.8051948051948052,0.7322834645669292,0.8225806451612904,0.7774320548641098,0.7619047619047619,0.7761199679974801,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022C61DB8970>,SVC,"{'svc__C': 1.0, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly', 'svc__probability': True, 'svc__random_state': 3}",1
