,fpr,tpr,auc,precision,recall,f1,sensitivity,specificity,macro_acc,micro_acc,g_mean,confusion_matrix,model_name,best_params,fold
0,"[0.         0.         0.01612903 0.01612903 0.01612903 0.01612903
 0.01612903 0.03225806 0.06451613 0.06451613 0.09677419 0.09677419
 0.11290323 0.12903226 0.14516129 0.14516129 0.19354839 0.19354839
 0.25806452 0.29032258 0.29032258 0.32258065 0.38709677 0.5
 0.59677419 0.70967742 0.77419355 0.85483871 0.90322581 0.96774194
 1.        ]","[0.         0.06299213 0.29133858 0.41732283 0.48031496 0.51181102
 0.5511811  0.56692913 0.59055118 0.62992126 0.65354331 0.69291339
 0.71653543 0.72440945 0.74015748 0.76377953 0.77165354 0.77952756
 0.81102362 0.85826772 0.88188976 0.90551181 0.92913386 0.93700787
 0.94488189 0.96062992 0.97637795 0.98425197 1.         1.
 1.        ]",0.8797307594615189,0.8909090909090909,0.7716535433070866,0.8270042194092827,0.7716535433070866,0.8064516129032258,0.7890525781051562,0.783068783068783,0.7888607257320452,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001C47CBD17F0>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 31, 'kneighborsclassifier__p': 1, 'kneighborsclassifier__weights': 'uniform'}",0
1,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.01612903
 0.03225806 0.03225806 0.03225806 0.0483871  0.0483871  0.06451613
 0.08064516 0.09677419 0.09677419 0.14516129 0.14516129 0.17741935
 0.19354839 0.19354839 0.24193548 0.25806452 0.27419355 0.29032258
 0.33870968 0.35483871 0.37096774 0.37096774 0.38709677 0.40322581
 0.48387097 0.53225806 0.56451613 0.79032258 0.82258065 0.87096774
 1.        ]","[0.         0.09448819 0.1496063  0.30708661 0.33070866 0.38582677
 0.41732283 0.42519685 0.44094488 0.46456693 0.50393701 0.52755906
 0.53543307 0.58267717 0.61417323 0.63779528 0.64566929 0.65354331
 0.67716535 0.72440945 0.77165354 0.77165354 0.77952756 0.79527559
 0.79527559 0.81889764 0.81889764 0.84251969 0.84251969 0.85826772
 0.86614173 0.87401575 0.8976378  0.92125984 0.92125984 0.93700787
 0.94488189 0.94488189 0.97637795 0.99212598 0.99212598 1.
 1.        ]",0.8993522987045973,0.9017857142857143,0.7952755905511811,0.8451882845188284,0.7952755905511811,0.8225806451612904,0.8089281178562358,0.8042328042328042,0.8088129007110463,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001C47E0ACD30>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.3, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 50, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",0
2,"[0.         0.         0.         0.         0.01612903 0.03225806
 0.03225806 0.0483871  0.06451613 0.09677419 0.09677419 0.09677419
 0.12903226 0.14516129 0.17741935 0.19354839 0.22580645 0.25806452
 0.27419355 0.33870968 0.38709677 0.40322581 0.48387097 0.58064516
 0.66129032 0.67741935 0.67741935 0.75806452 0.79032258 0.88709677
 0.9516129  1.        ]","[0.         0.12598425 0.21259843 0.24409449 0.28346457 0.30708661
 0.34645669 0.39370079 0.40944882 0.47244094 0.55905512 0.60629921
 0.61417323 0.68503937 0.72440945 0.75590551 0.80314961 0.83464567
 0.8503937  0.85826772 0.86614173 0.87401575 0.87401575 0.87401575
 0.88976378 0.92913386 0.93700787 0.93700787 0.96062992 0.99212598
 0.99212598 1.        ]",0.8302641605283211,0.8888888888888888,0.7559055118110236,0.8170212765957447,0.7559055118110236,0.8064516129032258,0.7811785623571247,0.7724867724867724,0.7807696326077483,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001C47E078970>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_leaf': 27, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",0
3,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.09677419
 0.09677419 0.12903226 0.12903226 0.14516129 0.14516129 0.16129032
 0.16129032 0.22580645 0.22580645 0.25806452 0.25806452 0.29032258
 0.29032258 0.32258065 0.32258065 0.33870968 0.33870968 0.37096774
 0.37096774 0.38709677 0.38709677 0.53225806 0.53225806 0.56451613
 0.56451613 0.58064516 0.58064516 0.59677419 0.59677419 0.64516129
 0.64516129 0.72580645 0.72580645 0.75806452 0.75806452 1.        ]","[0.         0.00787402 0.41732283 0.41732283 0.51968504 0.51968504
 0.52755906 0.52755906 0.5984252  0.5984252  0.63779528 0.63779528
 0.64566929 0.64566929 0.75590551 0.75590551 0.80314961 0.81102362
 0.81889764 0.81889764 0.82677165 0.82677165 0.84251969 0.84251969
 0.86614173 0.86614173 0.8976378  0.8976378  0.90551181 0.90551181
 0.91338583 0.91338583 0.92913386 0.92913386 0.93700787 0.93700787
 0.94488189 0.94488189 0.95275591 0.95275591 0.96062992 0.96062992
 0.96850394 0.96850394 0.97637795 0.97637795 1.         1.        ]",0.8866522733045465,0.9166666666666666,0.7795275590551181,0.8425531914893617,0.7795275590551181,0.8548387096774194,0.8171831343662688,0.8042328042328042,0.8163150940296678,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001C47CBD1910>,SVC,"{'svc__C': 0.2, 'svc__degree': 0, 'svc__gamma': 'scale', 'svc__kernel': 'rbf', 'svc__probability': True, 'svc__random_state': 3}",0
4,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.09677419
 0.09677419 0.11290323 0.11290323 0.12903226 0.12903226 0.16129032
 0.16129032 0.17741935 0.17741935 0.19354839 0.19354839 0.20967742
 0.20967742 0.22580645 0.22580645 0.24193548 0.24193548 0.25806452
 0.25806452 0.27419355 0.27419355 0.30645161 0.30645161 0.35483871
 0.35483871 0.41935484 0.41935484 0.4516129  0.4516129  0.48387097
 0.48387097 0.51612903 0.51612903 0.5483871  0.5483871  0.70967742
 0.70967742 0.80645161 0.80645161 0.82258065 0.82258065 0.83870968
 0.83870968 1.        ]","[0.         0.00787402 0.19685039 0.19685039 0.48818898 0.48818898
 0.62204724 0.62204724 0.63779528 0.63779528 0.66929134 0.66929134
 0.71653543 0.71653543 0.7480315  0.7480315  0.76377953 0.76377953
 0.77165354 0.77165354 0.80314961 0.80314961 0.81102362 0.81102362
 0.84251969 0.84251969 0.85826772 0.85826772 0.87401575 0.87401575
 0.8976378  0.8976378  0.90551181 0.90551181 0.91338583 0.91338583
 0.92125984 0.92125984 0.92913386 0.92913386 0.93700787 0.93700787
 0.94488189 0.94488189 0.95275591 0.95275591 0.96062992 0.96062992
 0.96850394 0.96850394 0.97637795 0.97637795 0.99212598 0.99212598
 1.         1.        ]",0.8916687833375666,0.9026548672566371,0.8031496062992126,0.85,0.8031496062992126,0.8225806451612904,0.8128651257302515,0.8095238095238095,0.8128070627834398,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001C47E6424F0>,MLPClassifier,"{'mlpclassifier__activation': 'relu', 'mlpclassifier__alpha': 0.05, 'mlpclassifier__hidden_layer_sizes': (20,), 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__random_state': 3, 'mlpclassifier__solver': 'lbfgs'}",0
5,"[0.         0.         0.         0.         0.         0.01612903
 0.01612903 0.03225806 0.03225806 0.0483871  0.0483871  0.06451613
 0.06451613 0.08064516 0.08064516 0.09677419 0.09677419 0.14516129
 0.14516129 0.16129032 0.16129032 0.19354839 0.19354839 0.22580645
 0.22580645 0.24193548 0.24193548 0.25806452 0.25806452 0.29032258
 0.29032258 0.30645161 0.30645161 0.32258065 0.32258065 0.33870968
 0.33870968 0.37096774 0.37096774 0.38709677 0.38709677 0.40322581
 0.40322581 0.41935484 0.41935484 0.4516129  0.4516129  0.72580645
 0.72580645 0.77419355 0.77419355 0.82258065 0.82258065 1.        ]","[0.         0.00787402 0.19685039 0.21259843 0.36220472 0.36220472
 0.55905512 0.55905512 0.60629921 0.60629921 0.64566929 0.64566929
 0.66141732 0.66141732 0.70866142 0.70866142 0.73228346 0.73228346
 0.75590551 0.75590551 0.76377953 0.76377953 0.77165354 0.77165354
 0.79527559 0.79527559 0.82677165 0.82677165 0.87401575 0.87401575
 0.88188976 0.88188976 0.88976378 0.88976378 0.90551181 0.90551181
 0.91338583 0.91338583 0.92125984 0.92125984 0.92913386 0.92913386
 0.96062992 0.96062992 0.96850394 0.96850394 0.97637795 0.97637795
 0.98425197 0.98425197 0.99212598 0.99212598 1.         1.        ]",0.8986537973075945,0.8782608695652174,0.7952755905511811,0.8347107438016529,0.7952755905511811,0.7741935483870968,0.784734569469139,0.7883597883597884,0.7846637696456125,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001C47E0D13D0>,GradientBoostingClassifier,"{'gradientboostingclassifier__learning_rate': 0.1, 'gradientboostingclassifier__loss': 'exponential', 'gradientboostingclassifier__max_depth': 3, 'gradientboostingclassifier__min_samples_leaf': 6, 'gradientboostingclassifier__random_state': 3}",0
6,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.11290323 0.11290323 0.12903226
 0.12903226 0.14516129 0.14516129 0.16129032 0.16129032 0.17741935
 0.17741935 0.19354839 0.19354839 0.20967742 0.20967742 0.25806452
 0.25806452 0.33870968 0.33870968 0.40322581 0.40322581 0.43548387
 0.43548387 0.4516129  0.4516129  0.56451613 0.56451613 0.62903226
 0.62903226 0.66129032 0.66129032 0.67741935 0.67741935 0.72580645
 0.72580645 0.74193548 0.74193548 0.77419355 0.77419355 0.80645161
 0.80645161 0.96774194 0.96774194 1.        ]","[0.         0.03149606 0.24409449 0.24409449 0.48031496 0.48031496
 0.49606299 0.49606299 0.50393701 0.50393701 0.53543307 0.53543307
 0.62992126 0.62992126 0.67716535 0.67716535 0.68503937 0.68503937
 0.73228346 0.73228346 0.75590551 0.75590551 0.77952756 0.77952756
 0.78740157 0.78740157 0.81102362 0.81102362 0.81889764 0.81889764
 0.84251969 0.84251969 0.87401575 0.87401575 0.88188976 0.88188976
 0.88976378 0.88976378 0.91338583 0.91338583 0.92125984 0.92125984
 0.92913386 0.92913386 0.94488189 0.94488189 0.95275591 0.95275591
 0.96062992 0.96062992 0.96850394 0.96850394 0.97637795 0.97637795
 0.98425197 0.98425197 1.         1.        ]",0.8608077216154433,0.9340659340659341,0.6692913385826772,0.779816513761468,0.6692913385826772,0.9032258064516129,0.786258572517145,0.746031746031746,0.777509619903457,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001C47E1E4BB0>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__p': 3, 'kneighborsclassifier__weights': 'distance'}",1
7,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.11290323 0.11290323 0.12903226 0.12903226 0.14516129
 0.14516129 0.19354839 0.19354839 0.25806452 0.25806452 0.30645161
 0.30645161 0.33870968 0.33870968 0.37096774 0.37096774 0.40322581
 0.40322581 0.43548387 0.43548387 0.46774194 0.46774194 0.48387097
 0.48387097 0.5        0.5        0.56451613 0.56451613 0.64516129
 0.64516129 0.69354839 0.69354839 0.74193548 0.74193548 0.75806452
 0.75806452 0.82258065 0.82258065 0.85483871 0.85483871 0.90322581
 0.90322581 1.        ]","[0.         0.00787402 0.28346457 0.28346457 0.50393701 0.50393701
 0.52755906 0.52755906 0.58267717 0.58267717 0.59055118 0.59055118
 0.66929134 0.66929134 0.68503937 0.68503937 0.7480315  0.7480315
 0.75590551 0.75590551 0.77952756 0.77952756 0.79527559 0.79527559
 0.80314961 0.80314961 0.81889764 0.81889764 0.82677165 0.82677165
 0.8503937  0.8503937  0.88188976 0.88188976 0.90551181 0.90551181
 0.92125984 0.92125984 0.92913386 0.92913386 0.93700787 0.93700787
 0.94488189 0.94488189 0.95275591 0.95275591 0.96850394 0.96850394
 0.97637795 0.97637795 0.98425197 0.98425197 0.99212598 0.99212598
 1.         1.        ]",0.8569977139954281,0.925531914893617,0.6850393700787402,0.7873303167420815,0.6850393700787402,0.8870967741935484,0.7860680721361443,0.7513227513227514,0.7795487254767535,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001C47E5904F0>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.25, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__n_estimators': 50, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",1
8,"[0.         0.         0.         0.         0.01612903 0.03225806
 0.0483871  0.0483871  0.0483871  0.0483871  0.0483871  0.06451613
 0.08064516 0.11290323 0.11290323 0.11290323 0.14516129 0.14516129
 0.16129032 0.19354839 0.24193548 0.27419355 0.29032258 0.30645161
 0.32258065 0.35483871 0.38709677 0.40322581 0.41935484 0.5
 0.53225806 0.59677419 0.66129032 0.70967742 0.75806452 0.77419355
 0.79032258 0.80645161 0.85483871 0.87096774 0.90322581 0.96774194
 1.        ]","[0.         0.11023622 0.14173228 0.16535433 0.22834646 0.26771654
 0.33070866 0.33858268 0.40944882 0.45669291 0.46456693 0.49606299
 0.53543307 0.5511811  0.56692913 0.60629921 0.66141732 0.7007874
 0.71653543 0.73228346 0.76377953 0.77165354 0.80314961 0.80314961
 0.81102362 0.82677165 0.83464567 0.8503937  0.85826772 0.86614173
 0.90551181 0.91338583 0.91338583 0.93700787 0.93700787 0.93700787
 0.94488189 0.94488189 0.95275591 0.98425197 0.98425197 0.98425197
 1.        ]",0.8211836423672847,0.900990099009901,0.7165354330708661,0.7982456140350876,0.7165354330708661,0.8387096774193549,0.7776225552451105,0.7566137566137565,0.7752194540453715,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001C47E6FBAC0>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_leaf': 15, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",1
9,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.11290323 0.11290323 0.12903226
 0.12903226 0.16129032 0.16129032 0.17741935 0.17741935 0.19354839
 0.19354839 0.20967742 0.20967742 0.22580645 0.22580645 0.27419355
 0.27419355 0.32258065 0.32258065 0.35483871 0.35483871 0.38709677
 0.38709677 0.41935484 0.41935484 0.48387097 0.48387097 0.5
 0.5        0.53225806 0.53225806 0.56451613 0.56451613 0.66129032
 0.66129032 0.69354839 0.69354839 0.70967742 0.70967742 0.77419355
 0.77419355 0.85483871 0.85483871 0.96774194 0.96774194 1.        ]","[0.         0.00787402 0.07874016 0.07874016 0.30708661 0.30708661
 0.48031496 0.48031496 0.50393701 0.50393701 0.52755906 0.52755906
 0.62992126 0.62992126 0.64566929 0.64566929 0.65354331 0.65354331
 0.68503937 0.68503937 0.7007874  0.7007874  0.70866142 0.70866142
 0.77952756 0.77952756 0.81102362 0.81102362 0.81889764 0.81889764
 0.8503937  0.8503937  0.85826772 0.85826772 0.88976378 0.88976378
 0.8976378  0.8976378  0.90551181 0.90551181 0.91338583 0.91338583
 0.92125984 0.92125984 0.93700787 0.93700787 0.94488189 0.94488189
 0.96062992 0.96062992 0.96850394 0.96850394 0.97637795 0.97637795
 0.98425197 0.98425197 0.99212598 0.99212598 1.         1.        ]",0.8561087122174245,0.9157894736842105,0.6850393700787402,0.7837837837837839,0.6850393700787402,0.8709677419354839,0.778003556007112,0.746031746031746,0.7724294099103081,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001C47F49F7C0>,SVC,"{'svc__C': 0.5, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly', 'svc__probability': True, 'svc__random_state': 3}",1
