,fpr,tpr,auc,precision,recall,f1,sensitivity,specificity,macro_acc,micro_acc,g_mean,confusion_matrix,model_name,best_params,fold
0,"[0.     0.     0.     0.125  0.25   0.3125 0.375  0.4375 0.5    0.5625
 0.5625 0.5625 0.6875 0.875  0.875  1.    ]","[0.         0.07142857 0.5        0.5        0.5        0.5
 0.57142857 0.57142857 0.64285714 0.64285714 0.71428571 0.85714286
 0.85714286 0.85714286 0.92857143 1.        ]",0.6919642857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.625,0.5982142857142857,0.6,0.5976143046671968,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000281158DFC40>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__p': 3, 'kneighborsclassifier__weights': 'uniform'}",0
1,"[0.     0.     0.     0.0625 0.0625 0.125  0.25   0.3125 0.3125 0.375
 0.5    0.625  0.6875 0.75   1.    ]","[0.         0.14285714 0.35714286 0.35714286 0.42857143 0.5
 0.5        0.5        0.57142857 0.71428571 0.78571429 0.78571429
 0.78571429 1.         1.        ]",0.7321428571428571,0.5833333333333334,0.5,0.5384615384615384,0.5,0.6875,0.59375,0.6,0.5863019699779287,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000028117804460>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.2, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 20, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",0
2,[0.     0.125  0.1875 0.3125 0.5    0.5    0.625  0.6875 1.    ],"[0.         0.5        0.57142857 0.64285714 0.64285714 0.85714286
 0.92857143 0.92857143 1.        ]",0.7321428571428572,0.6,0.6428571428571429,0.6206896551724138,0.6428571428571429,0.625,0.6339285714285714,0.6333333333333333,0.6338656910463875,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002811737CF70>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': None, 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 7, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",0
3,"[0.     0.     0.     0.0625 0.0625 0.25   0.25   0.375  0.375  0.5625
 0.5625 0.6875 0.6875 1.    ]","[0.         0.07142857 0.35714286 0.35714286 0.5        0.5
 0.64285714 0.64285714 0.71428571 0.71428571 0.92857143 0.92857143
 1.         1.        ]",0.7589285714285714,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.6428571428571429,0.75,0.6964285714285714,0.7000000000000001,0.6943650748294137,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000028115DB59A0>,SVC,"{'svc__C': 1.0, 'svc__degree': 0, 'svc__gamma': 'scale', 'svc__kernel': 'linear', 'svc__probability': True, 'svc__random_state': 3}",0
4,"[0.     0.     0.     0.0625 0.0625 0.125  0.125  0.25   0.25   0.3125
 0.3125 0.4375 0.4375 0.5    0.5    0.5625 0.5625 0.625  0.625  0.75
 0.75   1.    ]","[0.         0.07142857 0.35714286 0.35714286 0.42857143 0.42857143
 0.5        0.5        0.57142857 0.57142857 0.64285714 0.64285714
 0.71428571 0.71428571 0.78571429 0.78571429 0.85714286 0.85714286
 0.92857143 0.92857143 1.         1.        ]",0.7410714285714285,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6875,0.6651785714285714,0.6666666666666667,0.6648039453209388,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000028115DADAF0>,MLPClassifier,"{'mlpclassifier__activation': 'relu', 'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (14,), 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__random_state': 3, 'mlpclassifier__solver': 'adam'}",0
5,"[0.     0.     0.     0.0625 0.0625 0.1875 0.1875 0.25   0.25   0.4375
 0.4375 0.5625 0.5625 0.625  0.625  0.6875 0.6875 0.75   0.75   1.    ]","[0.         0.07142857 0.28571429 0.28571429 0.35714286 0.35714286
 0.42857143 0.42857143 0.57142857 0.57142857 0.64285714 0.64285714
 0.71428571 0.71428571 0.78571429 0.78571429 0.85714286 0.85714286
 1.         1.        ]",0.6741071428571428,0.5333333333333333,0.5714285714285714,0.5517241379310344,0.5714285714285714,0.5625,0.5669642857142857,0.5666666666666667,0.5669467095138409,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000028115D56A30>,GradientBoostingClassifier,"{'gradientboostingclassifier__learning_rate': 0.1, 'gradientboostingclassifier__loss': 'exponential', 'gradientboostingclassifier__max_depth': 3, 'gradientboostingclassifier__min_samples_leaf': 31, 'gradientboostingclassifier__random_state': 3}",0
6,"[0.     0.     0.     0.     0.     0.     0.     0.125  0.125  0.125
 0.25   0.3125 0.5    0.625  0.9375 1.    ]","[0.         0.14285714 0.21428571 0.35714286 0.57142857 0.71428571
 0.78571429 0.78571429 0.92857143 1.         1.         1.
 1.         1.         1.         1.        ]",0.9732142857142857,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.7857142857142857,0.9375,0.8616071428571428,0.8666666666666667,0.858258202906994,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000281176D73A0>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 33, 'kneighborsclassifier__p': 1, 'kneighborsclassifier__weights': 'uniform'}",1
7,[0.   0.   0.   0.25 0.25 1.  ],[0.         0.07142857 0.85714286 0.85714286 1.         1.        ],0.9642857142857143,1.0,0.7857142857142857,0.88,0.7857142857142857,1.0,0.8928571428571428,0.8999999999999999,0.8864052604279183,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002811385F640>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': None, 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.3, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__n_estimators': 25, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",1
8,[0.     0.     0.0625 0.125  0.125  0.3125 0.4375 0.5625 1.    ],"[0.         0.42857143 0.5        0.71428571 0.85714286 0.85714286
 1.         1.         1.        ]",0.90625,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.875,0.8660714285714286,0.8666666666666667,0.8660254037844386,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000281174A08B0>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': None, 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 9, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",1
9,[0.     0.     0.     0.0625 0.0625 0.125  0.125  1.    ],"[0.         0.07142857 0.78571429 0.78571429 0.92857143 0.92857143
 1.         1.        ]",0.9821428571428572,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8571428571428571,0.9375,0.8973214285714286,0.8999999999999999,0.8964214570007952,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000281173278B0>,SVC,"{'svc__C': 0.2, 'svc__degree': 1, 'svc__gamma': 'auto', 'svc__kernel': 'poly', 'svc__probability': True, 'svc__random_state': 3}",1
