,fpr,tpr,auc,precision,recall,f1,sensitivity,specificity,macro_acc,micro_acc,g_mean,confusion_matrix,model_name,best_params,fold
0,"[0.         0.01612903 0.01612903 0.03225806 0.03225806 0.0483871
 0.0483871  0.06451613 0.06451613 0.08064516 0.08064516 0.12903226
 0.12903226 0.14516129 0.14516129 0.16129032 0.16129032 0.19354839
 0.19354839 0.20967742 0.20967742 0.22580645 0.22580645 0.24193548
 0.24193548 0.25806452 0.25806452 0.27419355 0.27419355 0.29032258
 0.29032258 0.32258065 0.32258065 0.37096774 0.37096774 0.38709677
 0.38709677 0.48387097 0.48387097 0.51612903 0.51612903 0.58064516
 0.58064516 0.59677419 0.59677419 0.61290323 0.61290323 0.77419355
 0.77419355 0.96774194 1.        ]","[0.         0.15748031 0.57480315 0.57480315 0.60629921 0.60629921
 0.62204724 0.62204724 0.67716535 0.67716535 0.72440945 0.72440945
 0.73228346 0.73228346 0.74015748 0.74015748 0.75590551 0.75590551
 0.80314961 0.80314961 0.81102362 0.81102362 0.83464567 0.83464567
 0.85826772 0.85826772 0.86614173 0.86614173 0.88188976 0.88188976
 0.91338583 0.91338583 0.92125984 0.92125984 0.93700787 0.93700787
 0.94488189 0.94488189 0.96062992 0.96062992 0.96850394 0.96850394
 0.97637795 0.97637795 0.98425197 0.98425197 0.99212598 0.99212598
 1.         1.         1.        ]",0.89751079502159,0.873015873015873,0.8661417322834646,0.8695652173913044,0.8661417322834646,0.7419354838709677,0.8040386080772162,0.8253968253968255,0.8016366291796867,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000189C1FD1CA0>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 33, 'kneighborsclassifier__p': 2, 'kneighborsclassifier__weights': 'distance'}",0
1,"[0.         0.         0.         0.01612903 0.0483871  0.0483871
 0.09677419 0.14516129 0.16129032 0.20967742 0.25806452 0.27419355
 0.29032258 0.33870968 0.40322581 0.48387097 0.53225806 0.59677419
 0.70967742 0.82258065 0.93548387 1.        ]","[0.         0.26771654 0.46456693 0.52755906 0.64566929 0.71653543
 0.73228346 0.78740157 0.82677165 0.83464567 0.85826772 0.88976378
 0.88976378 0.90551181 0.90551181 0.91338583 0.92913386 0.96062992
 0.98425197 1.         1.         1.        ]",0.9013208026416052,0.872,0.8582677165354331,0.8650793650793651,0.8582677165354331,0.7419354838709677,0.8001016002032004,0.8201058201058201,0.7979845070918026,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000189C2879910>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.2, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 20, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",0
2,"[0.         0.01612903 0.01612903 0.03225806 0.03225806 0.03225806
 0.0483871  0.0483871  0.0483871  0.0483871  0.0483871  0.0483871
 0.0483871  0.06451613 0.09677419 0.12903226 0.12903226 0.14516129
 0.17741935 0.19354839 0.22580645 0.24193548 0.29032258 0.32258065
 0.32258065 0.33870968 0.37096774 0.40322581 0.41935484 0.51612903
 0.5483871  0.62903226 0.80645161 0.83870968 0.90322581 0.91935484
 1.        ]","[0.         0.24409449 0.26771654 0.31496063 0.36220472 0.41732283
 0.45669291 0.47244094 0.50393701 0.51968504 0.5511811  0.59055118
 0.61417323 0.61417323 0.62992126 0.67716535 0.7007874  0.72440945
 0.72440945 0.78740157 0.80314961 0.81102362 0.8503937  0.85826772
 0.87401575 0.8976378  0.91338583 0.93700787 0.95275591 0.95275591
 0.96850394 0.96850394 0.98425197 1.         1.         1.
 1.        ]",0.8746507493014987,0.8449612403100775,0.8582677165354331,0.8515625,0.8582677165354331,0.6774193548387096,0.7678435356870714,0.798941798941799,0.762500598566536,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000189C9BCA760>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': None, 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_leaf': 27, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",0
3,"[0.         0.         0.         0.03225806 0.03225806 0.0483871
 0.0483871  0.06451613 0.06451613 0.08064516 0.08064516 0.11290323
 0.11290323 0.12903226 0.12903226 0.17741935 0.17741935 0.19354839
 0.19354839 0.24193548 0.24193548 0.25806452 0.25806452 0.27419355
 0.27419355 0.38709677 0.38709677 0.40322581 0.40322581 0.46774194
 0.46774194 0.48387097 0.48387097 0.62903226 0.62903226 0.64516129
 0.64516129 0.74193548 0.74193548 0.79032258 0.79032258 0.88709677
 0.88709677 1.        ]","[0.         0.00787402 0.4015748  0.4015748  0.57480315 0.57480315
 0.70866142 0.70866142 0.73228346 0.73228346 0.76377953 0.76377953
 0.77952756 0.77952756 0.78740157 0.78740157 0.81889764 0.81889764
 0.83464567 0.83464567 0.8503937  0.8503937  0.87401575 0.87401575
 0.90551181 0.90551181 0.91338583 0.91338583 0.92125984 0.92125984
 0.94488189 0.94488189 0.95275591 0.95275591 0.96062992 0.96062992
 0.96850394 0.96850394 0.97637795 0.97637795 0.98425197 0.98425197
 1.         1.        ]",0.896748793497587,0.872,0.8582677165354331,0.8650793650793651,0.8582677165354331,0.7419354838709677,0.8001016002032004,0.8201058201058201,0.7979845070918026,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000189C40909D0>,SVC,"{'svc__C': 0.2, 'svc__degree': 0, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid', 'svc__probability': True, 'svc__random_state': 3}",0
4,"[0.         0.         0.         0.03225806 0.03225806 0.0483871
 0.0483871  0.06451613 0.06451613 0.09677419 0.09677419 0.11290323
 0.11290323 0.12903226 0.12903226 0.16129032 0.16129032 0.25806452
 0.25806452 0.30645161 0.30645161 0.32258065 0.32258065 0.35483871
 0.35483871 0.38709677 0.38709677 0.43548387 0.43548387 0.56451613
 0.56451613 0.61290323 0.61290323 0.77419355 0.77419355 0.79032258
 0.79032258 0.90322581 0.90322581 1.        ]","[0.         0.00787402 0.42519685 0.42519685 0.55905512 0.55905512
 0.61417323 0.61417323 0.75590551 0.75590551 0.77165354 0.77165354
 0.77952756 0.77952756 0.81102362 0.81102362 0.81889764 0.81889764
 0.90551181 0.90551181 0.91338583 0.91338583 0.92125984 0.92125984
 0.92913386 0.92913386 0.94488189 0.94488189 0.95275591 0.95275591
 0.96062992 0.96062992 0.97637795 0.97637795 0.98425197 0.98425197
 0.99212598 0.99212598 1.         1.        ]",0.9029718059436118,0.8699186991869918,0.84251968503937,0.8559999999999999,0.84251968503937,0.7419354838709677,0.7922275844551689,0.8095238095238095,0.7906296542569728,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000189C2E8DB80>,MLPClassifier,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 0.05, 'mlpclassifier__hidden_layer_sizes': (20,), 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__random_state': 3, 'mlpclassifier__solver': 'adam'}",0
5,"[0.         0.         0.         0.         0.         0.
 0.         0.03225806 0.03225806 0.0483871  0.0483871  0.06451613
 0.06451613 0.09677419 0.09677419 0.11290323 0.11290323 0.14516129
 0.14516129 0.16129032 0.16129032 0.19354839 0.19354839 0.24193548
 0.24193548 0.25806452 0.25806452 0.29032258 0.29032258 0.30645161
 0.30645161 0.35483871 0.35483871 0.40322581 0.40322581 0.46774194
 0.46774194 0.48387097 0.48387097 0.53225806 0.53225806 0.5483871
 0.5483871  0.61290323 0.61290323 0.93548387 0.93548387 1.        ]","[0.         0.00787402 0.09448819 0.11811024 0.12598425 0.14173228
 0.63779528 0.63779528 0.69291339 0.69291339 0.72440945 0.72440945
 0.75590551 0.75590551 0.76377953 0.76377953 0.79527559 0.79527559
 0.81889764 0.81889764 0.82677165 0.82677165 0.84251969 0.84251969
 0.85826772 0.85826772 0.86614173 0.86614173 0.87401575 0.87401575
 0.88976378 0.88976378 0.90551181 0.90551181 0.93700787 0.93700787
 0.95275591 0.95275591 0.96062992 0.96062992 0.97637795 0.97637795
 0.98425197 0.98425197 0.99212598 0.99212598 1.         1.        ]",0.9152908305816612,0.8661417322834646,0.8661417322834646,0.8661417322834646,0.8661417322834646,0.7258064516129032,0.7959740919481839,0.8201058201058202,0.7928753100598571,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000189C2FD8C40>,GradientBoostingClassifier,"{'gradientboostingclassifier__learning_rate': 0.25, 'gradientboostingclassifier__loss': 'log_loss', 'gradientboostingclassifier__max_depth': 3, 'gradientboostingclassifier__min_samples_leaf': 11, 'gradientboostingclassifier__random_state': 3}",0
6,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.11290323 0.11290323 0.14516129
 0.14516129 0.17741935 0.17741935 0.20967742 0.20967742 0.22580645
 0.22580645 0.25806452 0.25806452 0.27419355 0.27419355 0.29032258
 0.29032258 0.30645161 0.30645161 0.32258065 0.32258065 0.35483871
 0.35483871 0.38709677 0.38709677 0.40322581 0.40322581 0.41935484
 0.41935484 0.51612903 0.51612903 0.53225806 0.53225806 0.58064516
 0.58064516 0.67741935 0.67741935 0.69354839 0.69354839 0.90322581
 0.90322581 0.91935484 0.91935484 0.96774194 0.96774194 1.        ]","[0.         0.18897638 0.2992126  0.2992126  0.48818898 0.48818898
 0.49606299 0.49606299 0.51181102 0.51181102 0.5511811  0.5511811
 0.58267717 0.58267717 0.68503937 0.68503937 0.72440945 0.72440945
 0.7480315  0.7480315  0.75590551 0.75590551 0.78740157 0.78740157
 0.81889764 0.81889764 0.83464567 0.83464567 0.84251969 0.84251969
 0.8503937  0.8503937  0.85826772 0.85826772 0.88188976 0.88188976
 0.88976378 0.88976378 0.8976378  0.8976378  0.90551181 0.90551181
 0.91338583 0.91338583 0.92125984 0.92125984 0.92913386 0.92913386
 0.94488189 0.94488189 0.95275591 0.95275591 0.96062992 0.96062992
 0.98425197 0.98425197 0.99212598 0.99212598 1.         1.        ]",0.8627127254254509,0.8818181818181818,0.7637795275590551,0.8185654008438819,0.7637795275590551,0.7903225806451613,0.7770510541021082,0.7724867724867726,0.7769377113156591,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000189C4110310>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__p': 2, 'kneighborsclassifier__weights': 'distance'}",1
7,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.08064516 0.08064516 0.09677419
 0.09677419 0.11290323 0.11290323 0.12903226 0.12903226 0.14516129
 0.14516129 0.17741935 0.17741935 0.20967742 0.20967742 0.25806452
 0.25806452 0.29032258 0.29032258 0.33870968 0.33870968 0.37096774
 0.37096774 0.40322581 0.40322581 0.46774194 0.46774194 0.48387097
 0.48387097 0.51612903 0.51612903 0.56451613 0.56451613 0.64516129
 0.64516129 0.69354839 0.69354839 0.72580645 0.72580645 0.75806452
 0.75806452 0.80645161 0.80645161 0.90322581 0.90322581 1.
 1.        ]","[0.         0.00787402 0.26771654 0.26771654 0.42519685 0.42519685
 0.48818898 0.48818898 0.61417323 0.61417323 0.62204724 0.62204724
 0.64566929 0.64566929 0.67716535 0.67716535 0.70866142 0.70866142
 0.75590551 0.75590551 0.79527559 0.79527559 0.81102362 0.81102362
 0.81889764 0.81889764 0.83464567 0.83464567 0.85826772 0.85826772
 0.86614173 0.86614173 0.87401575 0.87401575 0.88976378 0.88976378
 0.8976378  0.8976378  0.92125984 0.92125984 0.92913386 0.92913386
 0.95275591 0.95275591 0.96062992 0.96062992 0.96850394 0.96850394
 0.97637795 0.97637795 0.98425197 0.98425197 0.99212598 0.99212598
 1.        ]",0.8594107188214376,0.9056603773584906,0.7559055118110236,0.8240343347639485,0.7559055118110236,0.8387096774193549,0.7973075946151893,0.783068783068783,0.7962319184575157,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000189C44B2850>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.3, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__n_estimators': 25, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",1
8,"[0.         0.         0.         0.         0.         0.
 0.         0.03225806 0.0483871  0.08064516 0.08064516 0.08064516
 0.11290323 0.11290323 0.11290323 0.12903226 0.16129032 0.17741935
 0.20967742 0.24193548 0.29032258 0.33870968 0.33870968 0.37096774
 0.40322581 0.41935484 0.4516129  0.5        0.53225806 0.62903226
 0.66129032 0.67741935 0.70967742 0.77419355 0.88709677 0.93548387
 1.        ]","[0.         0.33070866 0.34645669 0.37795276 0.4015748  0.40944882
 0.44094488 0.48818898 0.48818898 0.51968504 0.53543307 0.57480315
 0.59055118 0.61417323 0.69291339 0.72440945 0.74015748 0.75590551
 0.75590551 0.78740157 0.80314961 0.82677165 0.84251969 0.85826772
 0.85826772 0.87401575 0.88976378 0.88976378 0.92913386 0.94488189
 0.96850394 0.96850394 0.96850394 0.97637795 0.97637795 0.98425197
 1.        ]",0.8549657099314198,0.8695652173913043,0.7874015748031497,0.8264462809917356,0.7874015748031497,0.7580645161290323,0.772733045466091,0.7777777777777779,0.7725938090629433,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000189C40829D0>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': None, 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 23, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",1
9,"[0.         0.         0.01612903 0.01612903 0.03225806 0.03225806
 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516 0.08064516
 0.09677419 0.09677419 0.11290323 0.11290323 0.12903226 0.12903226
 0.16129032 0.16129032 0.17741935 0.17741935 0.19354839 0.19354839
 0.22580645 0.22580645 0.24193548 0.24193548 0.27419355 0.30645161
 0.30645161 0.32258065 0.32258065 0.35483871 0.35483871 0.37096774
 0.37096774 0.38709677 0.38709677 0.40322581 0.40322581 0.41935484
 0.41935484 0.58064516 0.58064516 0.64516129 0.64516129 0.69354839
 0.69354839 0.70967742 0.70967742 0.72580645 0.72580645 0.88709677
 0.88709677 0.9516129  0.9516129  1.        ]","[0.         0.00787402 0.00787402 0.02362205 0.02362205 0.04724409
 0.04724409 0.27559055 0.27559055 0.37007874 0.37007874 0.4015748
 0.4015748  0.59055118 0.59055118 0.62204724 0.62204724 0.71653543
 0.71653543 0.72440945 0.72440945 0.74015748 0.74015748 0.79527559
 0.79527559 0.81102362 0.81102362 0.84251969 0.84251969 0.84251969
 0.8503937  0.8503937  0.86614173 0.86614173 0.87401575 0.87401575
 0.88188976 0.88188976 0.88976378 0.88976378 0.91338583 0.91338583
 0.92913386 0.92913386 0.94488189 0.94488189 0.95275591 0.95275591
 0.96062992 0.96062992 0.96850394 0.96850394 0.97637795 0.97637795
 0.99212598 0.99212598 1.         1.        ]",0.8345186690373381,0.8803418803418803,0.8110236220472441,0.8442622950819673,0.8110236220472441,0.7741935483870968,0.7926085852171705,0.798941798941799,0.7923946338652929,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000189C4127D60>,SVC,"{'svc__C': 0.5, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly', 'svc__probability': True, 'svc__random_state': 3}",1
