,fpr,tpr,auc,precision,recall,f1,sensitivity,specificity,macro_acc,micro_acc,g_mean,confusion_matrix,model_name,best_params,fold
0,"[0.         0.         0.01612903 0.01612903 0.03225806 0.03225806
 0.09677419 0.12903226 0.16129032 0.17741935 0.20967742 0.24193548
 0.27419355 0.35483871 0.4516129  0.53225806 0.64516129 0.80645161
 0.96774194 1.        ]","[0.         0.28346457 0.48031496 0.55905512 0.59055118 0.65354331
 0.68503937 0.71653543 0.71653543 0.7480315  0.76377953 0.82677165
 0.84251969 0.8976378  0.93700787 0.96062992 0.97637795 1.
 1.         1.        ]",0.8908432816865635,0.8962264150943396,0.7480314960629921,0.815450643776824,0.7480314960629921,0.8225806451612904,0.7853060706121413,0.7724867724867726,0.7844209524435597,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B00C17AF40>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 19, 'kneighborsclassifier__p': 1, 'kneighborsclassifier__weights': 'uniform'}",0
1,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.01612903 0.01612903 0.0483871  0.0483871
 0.11290323 0.11290323 0.12903226 0.12903226 0.14516129 0.16129032
 0.16129032 0.19354839 0.24193548 0.25806452 0.30645161 0.30645161
 0.35483871 0.35483871 0.35483871 0.38709677 0.40322581 0.41935484
 0.4516129  0.53225806 0.5483871  0.59677419 0.59677419 0.74193548
 0.77419355 0.79032258 0.82258065 0.93548387 0.9516129  0.98387097
 1.        ]","[0.         0.25984252 0.38582677 0.41732283 0.43307087 0.47244094
 0.48031496 0.55905512 0.5984252  0.61417323 0.63779528 0.66929134
 0.68503937 0.7007874  0.74015748 0.7480315  0.7480315  0.75590551
 0.77165354 0.77952756 0.79527559 0.79527559 0.81102362 0.81889764
 0.84251969 0.8503937  0.88188976 0.8976378  0.8976378  0.92913386
 0.92913386 0.93700787 0.94488189 0.94488189 0.95275591 0.96850394
 0.96850394 0.96850394 0.97637795 0.99212598 0.99212598 1.
 1.        ]",0.8811277622555245,0.8706896551724138,0.7952755905511811,0.831275720164609,0.7952755905511811,0.7580645161290323,0.7766700533401067,0.783068783068783,0.7764471686730602,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B00C3FDAC0>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.3, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 35, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",0
2,"[0.         0.03225806 0.03225806 0.03225806 0.0483871  0.0483871
 0.0483871  0.06451613 0.06451613 0.06451613 0.06451613 0.08064516
 0.11290323 0.12903226 0.14516129 0.14516129 0.17741935 0.19354839
 0.22580645 0.25806452 0.27419355 0.30645161 0.33870968 0.37096774
 0.37096774 0.37096774 0.40322581 0.46774194 0.46774194 0.46774194
 0.53225806 0.5483871  0.5483871  0.58064516 0.59677419 0.61290323
 1.        ]","[0.         0.52755906 0.54330709 0.56692913 0.58267717 0.59055118
 0.60629921 0.63779528 0.65354331 0.66141732 0.68503937 0.69291339
 0.7007874  0.70866142 0.73228346 0.77952756 0.78740157 0.78740157
 0.78740157 0.80314961 0.80314961 0.81102362 0.83464567 0.83464567
 0.85826772 0.86614173 0.86614173 0.88188976 0.8976378  0.92125984
 0.92913386 0.94488189 0.95275591 0.96850394 0.96850394 0.97637795
 1.        ]",0.8698247396494794,0.8771929824561403,0.7874015748031497,0.8298755186721992,0.7874015748031497,0.7741935483870968,0.7807975615951233,0.7830687830687831,0.7807696326077483,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B00C101BE0>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 9, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",0
3,"[0.         0.         0.         0.         0.         0.03225806
 0.03225806 0.06451613 0.06451613 0.08064516 0.08064516 0.09677419
 0.09677419 0.11290323 0.11290323 0.12903226 0.12903226 0.14516129
 0.14516129 0.16129032 0.16129032 0.17741935 0.17741935 0.20967742
 0.20967742 0.22580645 0.22580645 0.24193548 0.25806452 0.27419355
 0.27419355 0.35483871 0.35483871 0.37096774 0.37096774 0.38709677
 0.38709677 0.40322581 0.40322581 0.41935484 0.41935484 0.43548387
 0.43548387 0.46774194 0.46774194 0.5        0.5        0.58064516
 0.58064516 0.61290323 0.61290323 0.62903226 0.62903226 0.75806452
 0.75806452 0.90322581 0.90322581 1.        ]","[0.         0.00787402 0.1496063  0.16535433 0.47244094 0.47244094
 0.48818898 0.48818898 0.59055118 0.59055118 0.62204724 0.62204724
 0.62992126 0.62992126 0.67716535 0.67716535 0.73228346 0.73228346
 0.76377953 0.76377953 0.77165354 0.77165354 0.79527559 0.79527559
 0.80314961 0.80314961 0.82677165 0.82677165 0.83464567 0.83464567
 0.8503937  0.8503937  0.88976378 0.88976378 0.90551181 0.90551181
 0.91338583 0.91338583 0.92125984 0.92125984 0.92913386 0.92913386
 0.93700787 0.93700787 0.94488189 0.94488189 0.95275591 0.95275591
 0.96850394 0.96850394 0.97637795 0.97637795 0.98425197 0.98425197
 0.99212598 0.99212598 1.         1.        ]",0.8814452628905257,0.9150943396226415,0.7637795275590551,0.832618025751073,0.7637795275590551,0.8548387096774194,0.8093091186182373,0.7936507936507937,0.8080274165005861,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B0119460A0>,SVC,"{'svc__C': 1.0, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly', 'svc__probability': True, 'svc__random_state': 3}",0
4,"[0.         0.         0.         0.         0.         0.01612903
 0.01612903 0.03225806 0.03225806 0.0483871  0.0483871  0.06451613
 0.06451613 0.08064516 0.08064516 0.09677419 0.09677419 0.11290323
 0.11290323 0.12903226 0.12903226 0.14516129 0.14516129 0.19354839
 0.19354839 0.20967742 0.24193548 0.24193548 0.25806452 0.25806452
 0.27419355 0.27419355 0.30645161 0.30645161 0.32258065 0.32258065
 0.40322581 0.40322581 0.43548387 0.43548387 0.5483871  0.5483871
 0.58064516 0.58064516 0.59677419 0.59677419 0.74193548 0.74193548
 0.82258065 0.82258065 1.        ]","[0.         0.00787402 0.07874016 0.09448819 0.47244094 0.47244094
 0.53543307 0.53543307 0.55905512 0.55905512 0.67716535 0.67716535
 0.69291339 0.69291339 0.73228346 0.73228346 0.74015748 0.74015748
 0.77952756 0.77952756 0.79527559 0.79527559 0.81102362 0.81102362
 0.84251969 0.8503937  0.8503937  0.87401575 0.87401575 0.8976378
 0.8976378  0.91338583 0.91338583 0.92125984 0.92125984 0.92913386
 0.92913386 0.93700787 0.93700787 0.96062992 0.96062992 0.96850394
 0.96850394 0.97637795 0.97637795 0.98425197 0.98425197 0.99212598
 0.99212598 1.         1.        ]",0.9106553213106426,0.94,0.7401574803149606,0.8281938325991189,0.7401574803149606,0.9032258064516129,0.8216916433832868,0.7936507936507937,0.8176364332994672,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B011C50280>,MLPClassifier,"{'mlpclassifier__activation': 'identity', 'mlpclassifier__alpha': 0.05, 'mlpclassifier__hidden_layer_sizes': (4,), 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__random_state': 3, 'mlpclassifier__solver': 'lbfgs'}",0
5,"[0.         0.         0.         0.         0.         0.01612903
 0.01612903 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.11290323 0.11290323 0.12903226
 0.12903226 0.16129032 0.16129032 0.19354839 0.19354839 0.24193548
 0.25806452 0.25806452 0.27419355 0.27419355 0.29032258 0.29032258
 0.32258065 0.32258065 0.35483871 0.35483871 0.46774194 0.46774194
 0.5483871  0.5483871  0.58064516 0.58064516 0.70967742 0.70967742
 0.80645161 0.80645161 1.        ]","[0.         0.00787402 0.04724409 0.06299213 0.47244094 0.47244094
 0.63779528 0.63779528 0.66141732 0.66141732 0.67716535 0.67716535
 0.69291339 0.69291339 0.72440945 0.72440945 0.75590551 0.75590551
 0.76377953 0.76377953 0.77952756 0.77952756 0.79527559 0.79527559
 0.80314961 0.82677165 0.82677165 0.8503937  0.8503937  0.90551181
 0.90551181 0.93700787 0.93700787 0.95275591 0.95275591 0.96062992
 0.96062992 0.96850394 0.96850394 0.97637795 0.97637795 0.98425197
 0.98425197 1.         1.        ]",0.9035433070866141,0.8666666666666667,0.8188976377952756,0.8421052631578948,0.8188976377952756,0.7419354838709677,0.7804165608331217,0.7936507936507936,0.7794672636733568,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B00C22F5B0>,GradientBoostingClassifier,"{'gradientboostingclassifier__learning_rate': 0.1, 'gradientboostingclassifier__loss': 'exponential', 'gradientboostingclassifier__max_depth': 4, 'gradientboostingclassifier__min_samples_leaf': 26, 'gradientboostingclassifier__random_state': 3}",0
6,"[0.         0.         0.01612903 0.01612903 0.01612903 0.01612903
 0.03225806 0.0483871  0.0483871  0.0483871  0.06451613 0.08064516
 0.08064516 0.08064516 0.09677419 0.11290323 0.12903226 0.14516129
 0.14516129 0.19354839 0.22580645 0.24193548 0.29032258 0.35483871
 0.43548387 0.5483871  0.62903226 0.66129032 0.70967742 0.83870968
 0.93548387 0.98387097 1.        ]","[0.         0.15748031 0.2992126  0.32283465 0.4015748  0.46456693
 0.48031496 0.48818898 0.51181102 0.51968504 0.54330709 0.57480315
 0.58267717 0.5984252  0.60629921 0.64566929 0.65354331 0.68503937
 0.72440945 0.73228346 0.74015748 0.75590551 0.78740157 0.84251969
 0.8503937  0.88188976 0.90551181 0.93700787 0.96062992 0.97637795
 0.98425197 1.         1.        ]",0.8364871729743459,0.9120879120879121,0.6535433070866141,0.7614678899082568,0.6535433070866141,0.8709677419354839,0.7622555245110489,0.7248677248677249,0.7544634772010351,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B00C3C5AF0>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__p': 1, 'kneighborsclassifier__weights': 'uniform'}",1
7,"[0.         0.         0.         0.         0.         0.
 0.         0.01612903 0.01612903 0.03225806 0.03225806 0.0483871
 0.0483871  0.06451613 0.06451613 0.08064516 0.08064516 0.11290323
 0.11290323 0.16129032 0.16129032 0.17741935 0.17741935 0.19354839
 0.19354839 0.30645161 0.30645161 0.33870968 0.33870968 0.35483871
 0.35483871 0.37096774 0.37096774 0.38709677 0.38709677 0.40322581
 0.40322581 0.41935484 0.41935484 0.43548387 0.43548387 0.5
 0.5        0.51612903 0.51612903 0.53225806 0.53225806 0.5483871
 0.5483871  0.56451613 0.56451613 0.69354839 0.69354839 0.70967742
 0.70967742 0.96774194 0.96774194 1.        ]","[0.         0.00787402 0.02362205 0.03937008 0.05511811 0.07086614
 0.23622047 0.23622047 0.4488189  0.4488189  0.51968504 0.51968504
 0.55905512 0.55905512 0.59055118 0.59055118 0.63779528 0.63779528
 0.72440945 0.72440945 0.73228346 0.73228346 0.76377953 0.76377953
 0.78740157 0.78740157 0.80314961 0.80314961 0.81102362 0.81102362
 0.81889764 0.81889764 0.83464567 0.83464567 0.8503937  0.8503937
 0.86614173 0.86614173 0.88188976 0.88188976 0.88976378 0.88976378
 0.91338583 0.91338583 0.92125984 0.92125984 0.92913386 0.92913386
 0.93700787 0.93700787 0.96062992 0.96062992 0.97637795 0.97637795
 0.98425197 0.98425197 1.         1.        ]",0.857251714503429,0.9029126213592233,0.7322834645669292,0.8086956521739131,0.7322834645669292,0.8387096774193549,0.7854965709931421,0.7671957671957672,0.7836920494342511,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B00C207BE0>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.25, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__n_estimators': 35, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",1
8,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.03225806 0.03225806 0.0483871  0.0483871  0.08064516
 0.08064516 0.11290323 0.12903226 0.14516129 0.14516129 0.19354839
 0.19354839 0.20967742 0.25806452 0.27419355 0.30645161 0.32258065
 0.33870968 0.38709677 0.4516129  0.5        0.5        0.5483871
 0.58064516 0.58064516 0.61290323 0.66129032 0.74193548 0.80645161
 0.83870968 0.88709677 0.9516129  0.9516129  1.        ]","[0.         0.19685039 0.25984252 0.30708661 0.34645669 0.37007874
 0.42519685 0.4488189  0.46456693 0.50393701 0.51968504 0.52755906
 0.59055118 0.60629921 0.66141732 0.68503937 0.7007874  0.7007874
 0.72440945 0.75590551 0.76377953 0.77952756 0.81889764 0.84251969
 0.85826772 0.86614173 0.8976378  0.8976378  0.92125984 0.92913386
 0.92913386 0.93700787 0.93700787 0.93700787 0.94488189 0.94488189
 0.97637795 0.97637795 0.98425197 0.99212598 1.        ]",0.8422656845313691,0.9081632653061225,0.7007874015748031,0.791111111111111,0.7007874015748031,0.8548387096774194,0.7778130556261112,0.7513227513227513,0.7739897920001246,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B011BE0970>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 29, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",1
9,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.11290323 0.11290323 0.12903226
 0.12903226 0.14516129 0.14516129 0.17741935 0.17741935 0.19354839
 0.19354839 0.20967742 0.20967742 0.25806452 0.25806452 0.29032258
 0.29032258 0.30645161 0.30645161 0.32258065 0.32258065 0.35483871
 0.35483871 0.38709677 0.38709677 0.43548387 0.43548387 0.46774194
 0.46774194 0.51612903 0.51612903 0.5483871  0.5483871  0.58064516
 0.58064516 0.61290323 0.61290323 0.64516129 0.64516129 0.70967742
 0.70967742 0.74193548 0.74193548 0.79032258 0.79032258 0.93548387
 0.93548387 0.96774194 0.96774194 1.         1.        ]","[0.         0.00787402 0.04724409 0.04724409 0.18897638 0.18897638
 0.51968504 0.51968504 0.52755906 0.52755906 0.53543307 0.53543307
 0.60629921 0.60629921 0.61417323 0.61417323 0.63779528 0.63779528
 0.66141732 0.66141732 0.66929134 0.66929134 0.73228346 0.73228346
 0.7480315  0.7480315  0.75590551 0.75590551 0.78740157 0.78740157
 0.80314961 0.80314961 0.82677165 0.82677165 0.83464567 0.83464567
 0.84251969 0.84251969 0.87401575 0.87401575 0.88188976 0.88188976
 0.88976378 0.88976378 0.8976378  0.8976378  0.90551181 0.90551181
 0.91338583 0.91338583 0.92913386 0.92913386 0.93700787 0.93700787
 0.94488189 0.94488189 0.95275591 0.95275591 0.97637795 0.97637795
 0.98425197 0.98425197 0.99212598 0.99212598 1.        ]",0.8317246634493269,0.9186046511627907,0.6220472440944882,0.7417840375586854,0.6220472440944882,0.8870967741935484,0.7545720091440182,0.7089947089947091,0.7428432564358427,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001B01202A790>,SVC,"{'svc__C': 0.2, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly', 'svc__probability': True, 'svc__random_state': 3}",1
