,fpr,tpr,auc,precision,recall,f1,sensitivity,specificity,macro_acc,micro_acc,g_mean,confusion_matrix,model_name,best_params,fold
0,"[0.     0.     0.125  0.1875 0.25   0.3125 0.5625 0.5625 0.6875 0.8125
 1.    ]","[0.         0.21428571 0.35714286 0.5        0.57142857 0.57142857
 0.57142857 0.64285714 0.92857143 1.         1.        ]",0.6808035714285714,0.5333333333333333,0.5714285714285714,0.5517241379310344,0.5714285714285714,0.5625,0.5669642857142857,0.5666666666666667,0.5669467095138409,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000228661059A0>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 11, 'kneighborsclassifier__p': 1, 'kneighborsclassifier__weights': 'uniform'}",0
1,"[0.     0.     0.     0.1875 0.1875 0.3125 0.3125 0.375  0.375  0.5
 0.5    0.6875 0.6875 0.75   0.75   1.    ]","[0.         0.07142857 0.42857143 0.42857143 0.5        0.5
 0.57142857 0.57142857 0.64285714 0.64285714 0.78571429 0.78571429
 0.85714286 0.85714286 1.         1.        ]",0.7098214285714286,0.6153846153846154,0.5714285714285714,0.5925925925925927,0.5714285714285714,0.6875,0.6294642857142857,0.6333333333333333,0.6267831705280087,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002286A407E50>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.25, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__n_estimators': 25, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",0
2,[0.     0.0625 0.3125 0.5625 0.625  0.6875 0.75   1.    ],"[0.         0.28571429 0.42857143 0.42857143 0.57142857 0.57142857
 0.64285714 1.        ]",0.515625,0.4,0.42857142857142855,0.4137931034482759,0.42857142857142855,0.4375,0.4330357142857143,0.43333333333333335,0.4330127018922193,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000228667164F0>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_leaf': 27, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",0
3,"[0.     0.     0.     0.0625 0.0625 0.1875 0.1875 0.25   0.25   0.3125
 0.3125 0.4375 0.4375 0.5625 0.5625 0.625  0.625  0.875  0.875  1.    ]","[0.         0.07142857 0.35714286 0.35714286 0.42857143 0.42857143
 0.5        0.5        0.57142857 0.57142857 0.64285714 0.64285714
 0.71428571 0.71428571 0.78571429 0.78571429 0.92857143 0.92857143
 1.         1.        ]",0.71875,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6875,0.6651785714285714,0.6666666666666667,0.6648039453209388,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002286C5203D0>,SVC,"{'svc__C': 0.5, 'svc__degree': 1, 'svc__gamma': 'scale', 'svc__kernel': 'poly', 'svc__probability': True, 'svc__random_state': 3}",0
4,"[0.     0.     0.     0.0625 0.0625 0.25   0.25   0.375  0.375  0.5625
 0.5625 0.625  0.625  0.9375 0.9375 1.    ]","[0.         0.07142857 0.35714286 0.35714286 0.5        0.5
 0.57142857 0.57142857 0.64285714 0.64285714 0.78571429 0.78571429
 0.92857143 0.92857143 1.         1.        ]",0.7098214285714286,0.6,0.6428571428571429,0.6206896551724138,0.6428571428571429,0.625,0.6339285714285714,0.6333333333333333,0.6338656910463875,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002286C7E9BB0>,MLPClassifier,"{'mlpclassifier__activation': 'relu', 'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (4,), 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__random_state': 3, 'mlpclassifier__solver': 'adam'}",0
5,"[0.     0.     0.     0.125  0.125  0.1875 0.1875 0.3125 0.3125 0.5625
 0.5625 0.6875 0.6875 0.75   0.75   0.875  0.875  1.    ]","[0.         0.07142857 0.28571429 0.28571429 0.35714286 0.35714286
 0.42857143 0.42857143 0.64285714 0.64285714 0.71428571 0.71428571
 0.85714286 0.85714286 0.92857143 0.92857143 1.         1.        ]",0.65625,0.5625,0.6428571428571429,0.6000000000000001,0.6428571428571429,0.5625,0.6026785714285714,0.6000000000000001,0.6013377943029549,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002286C7E5F10>,GradientBoostingClassifier,"{'gradientboostingclassifier__learning_rate': 0.1, 'gradientboostingclassifier__loss': 'exponential', 'gradientboostingclassifier__max_depth': 5, 'gradientboostingclassifier__min_samples_leaf': 31, 'gradientboostingclassifier__random_state': 3}",0
6,"[0.     0.     0.     0.     0.     0.     0.     0.0625 0.125  0.125
 0.25   0.3125 0.4375 0.8125 0.9375 1.    ]","[0.         0.14285714 0.21428571 0.42857143 0.57142857 0.71428571
 0.78571429 0.78571429 0.85714286 0.92857143 1.         1.
 1.         1.         1.         1.        ]",0.9709821428571428,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.7857142857142857,0.9375,0.8616071428571428,0.8666666666666667,0.858258202906994,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002286C6E9AC0>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 33, 'kneighborsclassifier__p': 4, 'kneighborsclassifier__weights': 'uniform'}",1
7,[0.     0.     0.     0.25   0.25   0.3125 0.3125 0.875  1.    ],"[0.         0.14285714 0.78571429 0.78571429 0.85714286 0.85714286
 1.         1.         1.        ]",0.9375,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.7857142857142857,0.9375,0.8616071428571428,0.8666666666666667,0.858258202906994,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022866E6C3D0>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.3, 'randomforestclassifier__min_samples_leaf': 21, 'randomforestclassifier__n_estimators': 25, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",1
8,[0.     0.     0.0625 0.0625 0.125  0.125  0.1875 0.4375 0.625  1.    ],"[0.         0.42857143 0.5        0.78571429 0.78571429 0.85714286
 0.85714286 0.85714286 0.85714286 1.        ]",0.8549107142857143,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.7857142857142857,0.875,0.8303571428571428,0.8333333333333333,0.82915619758885,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002286C77A310>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 7, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",1
9,[0. 0. 0. 1.],[0.         0.07142857 1.         1.        ],1.0,0.875,1.0,0.9333333333333333,1.0,0.875,0.9375,0.9333333333333333,0.9354143466934853,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002286C9B9220>,SVC,"{'svc__C': 1.0, 'svc__degree': 1, 'svc__gamma': 'scale', 'svc__kernel': 'poly', 'svc__probability': True, 'svc__random_state': 3}",1
10,[0.     0.     0.     0.0625 0.0625 0.125  0.125  1.    ],"[0.         0.07142857 0.78571429 0.78571429 0.92857143 0.92857143
 1.         1.        ]",0.9821428571428572,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9375,0.9330357142857143,0.9333333333333333,0.9330250341152236,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002286C9556D0>,MLPClassifier,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (14,), 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__random_state': 3, 'mlpclassifier__solver': 'adam'}",1
11,[0.     0.     0.     0.1875 0.1875 0.3125 0.3125 1.    ],"[0.         0.07142857 0.85714286 0.85714286 0.92857143 0.92857143
 1.         1.        ]",0.9642857142857143,0.8125,0.9285714285714286,0.8666666666666666,0.9285714285714286,0.8125,0.8705357142857143,0.8666666666666667,0.8685990362153793,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002286A413C70>,GradientBoostingClassifier,"{'gradientboostingclassifier__learning_rate': 0.1, 'gradientboostingclassifier__loss': 'exponential', 'gradientboostingclassifier__max_depth': 3, 'gradientboostingclassifier__min_samples_leaf': 31, 'gradientboostingclassifier__random_state': 3}",1
12,[0.     0.     0.     0.125  0.3125 0.5625 0.875  1.    ],"[0.         0.57142857 0.85714286 1.         1.         1.
 1.         1.        ]",0.9910714285714286,0.8235294117647058,1.0,0.9032258064516129,1.0,0.8125,0.90625,0.9,0.9013878188659973,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002286E13A700>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 21, 'kneighborsclassifier__p': 4, 'kneighborsclassifier__weights': 'uniform'}",2
13,[0.    0.    0.    0.    0.125 0.125 0.875 1.   ],"[0.         0.07142857 0.28571429 0.92857143 0.92857143 1.
 1.         1.        ]",0.9910714285714286,0.8235294117647058,1.0,0.9032258064516129,1.0,0.8125,0.90625,0.9,0.9013878188659973,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022866702B80>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.3, 'randomforestclassifier__min_samples_leaf': 11, 'randomforestclassifier__n_estimators': 40, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",2
14,[0.     0.     0.     0.125  0.125  0.5    0.5625 0.625  0.75   1.    ],"[0.         0.64285714 0.71428571 0.85714286 0.92857143 0.92857143
 0.92857143 1.         1.         1.        ]",0.9397321428571429,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9285714285714286,0.875,0.9017857142857143,0.9,0.9013878188659973,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002286E8F0340>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 15, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",2
15,[0.     0.     0.     0.0625 0.0625 0.125  0.125  1.    ],"[0.         0.07142857 0.85714286 0.85714286 0.92857143 0.92857143
 1.         1.        ]",0.9866071428571428,0.7777777777777778,1.0,0.8750000000000001,1.0,0.75,0.875,0.8666666666666667,0.8660254037844386,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002286E838C70>,SVC,"{'svc__C': 0.5, 'svc__degree': 2, 'svc__gamma': 'auto', 'svc__kernel': 'poly', 'svc__probability': True, 'svc__random_state': 3}",2
16,[0.    0.    0.    0.125 0.125 1.   ],[0.         0.07142857 0.92857143 0.92857143 1.         1.        ],0.9910714285714286,0.8235294117647058,1.0,0.9032258064516129,1.0,0.8125,0.90625,0.9,0.9013878188659973,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022870532E20>,MLPClassifier,"{'mlpclassifier__activation': 'identity', 'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (20,), 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__random_state': 3, 'mlpclassifier__solver': 'adam'}",2
17,[0. 0. 0. 1.],[0.         0.07142857 1.         1.        ],1.0,0.8235294117647058,1.0,0.9032258064516129,1.0,0.8125,0.90625,0.9,0.9013878188659973,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002286E617340>,GradientBoostingClassifier,"{'gradientboostingclassifier__learning_rate': 0.1, 'gradientboostingclassifier__loss': 'log_loss', 'gradientboostingclassifier__max_depth': 3, 'gradientboostingclassifier__min_samples_leaf': 26, 'gradientboostingclassifier__random_state': 3}",2
18,"[0.     0.     0.     0.1875 0.1875 0.25   0.25   0.6875 0.6875 0.8125
 1.    ]","[0.         0.07142857 0.71428571 0.71428571 0.85714286 0.85714286
 0.92857143 0.92857143 1.         1.         1.        ]",0.90625,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8125,0.7991071428571428,0.8,0.7989949043284676,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002286E8B7130>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 17, 'kneighborsclassifier__p': 3, 'kneighborsclassifier__weights': 'distance'}",3
19,"[0.     0.     0.     0.     0.     0.0625 0.0625 0.125  0.25   0.4375
 0.75   1.    ]","[0.         0.07142857 0.21428571 0.35714286 0.42857143 0.5
 0.64285714 0.71428571 0.71428571 0.92857143 1.         1.        ]",0.8660714285714286,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7142857142857143,0.875,0.7946428571428572,0.8,0.7905694150420949,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022870393880>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.25, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 25, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",3
20,"[0.     0.     0.     0.0625 0.1875 0.375  0.5    0.5    0.6875 0.875
 1.    ]","[0.         0.21428571 0.42857143 0.42857143 0.71428571 0.71428571
 0.78571429 0.85714286 1.         1.         1.        ]",0.8125,0.7692307692307693,0.7142857142857143,0.7407407407407408,0.7142857142857143,0.8125,0.7633928571428572,0.7666666666666667,0.7618117502750551,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002286E756400>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 15, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",3
