,fpr,tpr,auc,precision,recall,f1,sensitivity,specificity,macro_acc,micro_acc,g_mean,confusion_matrix,model_name,best_params,fold
0,"[0.         0.         0.01612903 0.03225806 0.03225806 0.06451613
 0.06451613 0.09677419 0.14516129 0.20967742 0.25806452 0.35483871
 0.40322581 0.62903226 1.        ]","[0.         0.25984252 0.35433071 0.39370079 0.46456693 0.50393701
 0.64566929 0.67716535 0.70866142 0.78740157 0.82677165 0.8503937
 0.90551181 0.95275591 1.        ]",0.8644272288544577,0.8849557522123894,0.7874015748031497,0.8333333333333335,0.7874015748031497,0.7903225806451613,0.7888620777241555,0.7883597883597884,0.7888607257320454,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001BADDD864C0>,DecisionTreeClassifier,"{'decisiontreeclassifier__ccp_alpha': 0.005, 'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 6, 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_leaf': 27, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",0
1,"[0.         0.01612903 0.0483871  0.11290323 0.12903226 0.12903226
 0.25806452 0.38709677 0.48387097 0.67741935 1.        ]","[0.         0.07874016 0.46456693 0.58267717 0.5984252  0.65354331
 0.7480315  0.82677165 0.87401575 0.96062992 1.        ]",0.8208026416052832,0.8558558558558559,0.7480314960629921,0.7983193277310924,0.7480314960629921,0.7419354838709677,0.7449834899669799,0.746031746031746,0.7449772546744096,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001BADE10A8B0>,DecisionTreeClassifier,"{'decisiontreeclassifier__ccp_alpha': 0.005, 'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 5, 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_leaf': 17, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",1
2,"[0.         0.         0.0483871  0.14516129 0.17741935 0.22580645
 0.25806452 0.37096774 0.41935484 0.41935484 0.77419355 1.        ]","[0.         0.43307087 0.46456693 0.58267717 0.66141732 0.69291339
 0.72440945 0.80314961 0.81889764 0.83464567 0.98425197 1.        ]",0.8202946405892813,0.8518518518518519,0.7244094488188977,0.7829787234042553,0.7244094488188977,0.7419354838709677,0.7331724663449327,0.7301587301587302,0.7331200958438869,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001BADE2920D0>,DecisionTreeClassifier,"{'decisiontreeclassifier__ccp_alpha': 0.005, 'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 4, 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 19, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",2
3,"[0.         0.         0.03225806 0.03225806 0.03225806 0.03225806
 0.06451613 0.12903226 0.22580645 0.29032258 0.33870968 0.4516129
 0.67741935 0.80645161 1.        ]","[0.         0.22047244 0.29133858 0.39370079 0.42519685 0.51181102
 0.53543307 0.61417323 0.75590551 0.77952756 0.81102362 0.88976378
 0.95275591 0.96062992 1.        ]",0.833756667513335,0.9069767441860465,0.6141732283464567,0.7323943661971831,0.6141732283464567,0.8709677419354839,0.7425704851409702,0.6984126984126984,0.7313857189268462,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001BAD65B7BB0>,DecisionTreeClassifier,"{'decisiontreeclassifier__ccp_alpha': 0.005, 'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 6, 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",3
4,"[0.         0.         0.01639344 0.01639344 0.01639344 0.03278689
 0.08196721 0.19672131 0.27868852 0.44262295 0.55737705 0.81967213
 0.90163934 1.        ]","[0.         0.03937008 0.30708661 0.38582677 0.41732283 0.50393701
 0.64566929 0.71653543 0.76377953 0.83464567 0.8976378  0.96062992
 0.97637795 1.        ]",0.8281915580224604,0.9425287356321839,0.6456692913385826,0.7663551401869159,0.6456692913385826,0.9180327868852459,0.7818510391119142,0.7340425531914894,0.7698997200504627,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001BAD85A68B0>,DecisionTreeClassifier,"{'decisiontreeclassifier__ccp_alpha': 0.005, 'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 6, 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_leaf': 23, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",4
5,"[0.         0.         0.06451613 0.06451613 0.11290323 0.17741935
 0.17741935 0.20967742 0.24193548 0.25806452 0.53225806 0.62903226
 0.69354839 0.96774194 1.        ]","[0.         0.13492063 0.43650794 0.51587302 0.55555556 0.65079365
 0.66666667 0.68253968 0.75396825 0.78571429 0.85714286 0.9047619
 0.91269841 1.         1.        ]",0.8042114695340501,0.8608695652173913,0.7857142857142857,0.8215767634854773,0.7857142857142857,0.7419354838709677,0.7638248847926268,0.7712765957446808,0.7635111713365825,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001BAD86A9460>,DecisionTreeClassifier,"{'decisiontreeclassifier__ccp_alpha': 0.005, 'decisiontreeclassifier__class_weight': None, 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 5, 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_leaf': 15, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",5
6,"[0.         0.         0.         0.         0.0483871  0.06451613
 0.11290323 0.16129032 0.17741935 0.22580645 0.25806452 0.4516129
 0.61290323 0.64516129 1.        ]","[0.         0.26190476 0.3015873  0.37301587 0.56349206 0.58730159
 0.63492063 0.71428571 0.74603175 0.77777778 0.81746032 0.88888889
 0.96825397 0.96825397 1.        ]",0.863863287250384,0.875,0.7777777777777778,0.823529411764706,0.7777777777777778,0.7741935483870968,0.7759856630824373,0.7765957446808511,0.7759835936631706,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001BADEE33400>,DecisionTreeClassifier,"{'decisiontreeclassifier__ccp_alpha': 0.005, 'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 5, 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_leaf': 11, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",6
7,"[0.         0.01612903 0.0483871  0.06451613 0.09677419 0.16129032
 0.24193548 0.37096774 0.66129032 0.70967742 0.72580645 1.        ]","[0.         0.03968254 0.42857143 0.50793651 0.62698413 0.72222222
 0.76984127 0.85714286 0.95238095 0.97619048 0.99206349 1.        ]",0.8406938044034817,0.8244274809160306,0.8571428571428571,0.8404669260700388,0.8571428571428571,0.6290322580645161,0.7430875576036866,0.7819148936170213,0.7342823073671614,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001BADF07FAC0>,DecisionTreeClassifier,"{'decisiontreeclassifier__ccp_alpha': 0.005, 'decisiontreeclassifier__class_weight': None, 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 5, 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 19, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",7
8,"[0.         0.         0.01612903 0.01612903 0.09677419 0.12903226
 0.16129032 0.24193548 0.30645161 0.5483871  0.56451613 1.        ]","[0.         0.41269841 0.46031746 0.56349206 0.65079365 0.68253968
 0.72222222 0.84920635 0.92063492 0.96825397 0.97619048 1.        ]",0.8950972862263185,0.8770491803278688,0.8492063492063492,0.8629032258064516,0.8492063492063492,0.7580645161290323,0.8036354326676907,0.8191489361702128,0.802342321085466,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001BADFA9B670>,DecisionTreeClassifier,"{'decisiontreeclassifier__ccp_alpha': 0.005, 'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 4, 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 27, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",8
9,"[0.         0.01612903 0.01612903 0.01612903 0.08064516 0.12903226
 0.20967742 0.30645161 0.33870968 0.33870968 0.40322581 0.4516129
 0.98387097 1.        ]","[0.         0.23809524 0.3015873  0.43650794 0.48412698 0.53968254
 0.63492063 0.67460317 0.70634921 0.72222222 0.8015873  0.87301587
 1.         1.        ]",0.7936507936507936,0.8125,0.7222222222222222,0.7647058823529411,0.7222222222222222,0.6612903225806451,0.6917562724014337,0.7021276595744681,0.6910850644517241,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001BAD85EC3D0>,DecisionTreeClassifier,"{'decisiontreeclassifier__ccp_alpha': 0.005, 'decisiontreeclassifier__class_weight': None, 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 5, 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_leaf': 13, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",9
