,AdaptiveRandomForestClassifier_def
0,65.9
1,70.19999999999999
2,70.39999999999999
3,71.5
4,69.69999999999999
5,71.1
6,74.6
7,77.0
8,73.8
9,75.7
10,73.3
11,47.4
12,98.6
13,35.199999999999996
14,62.5
15,66.10000000000001
16,57.99999999999999
17,48.3
18,66.3
19,77.4
20,77.0
21,78.4
22,76.3
23,78.0
24,77.4
25,78.8
26,75.3
27,26.700000000000003
28,74.5
29,72.39999999999999
30,75.6
31,72.7
32,28.1
33,57.8
34,64.8
35,60.699999999999996
36,64.0
37,31.8
38,61.7
39,71.1
40,74.4
41,72.7
42,73.2
43,71.6
44,76.6
45,61.8
46,87.3
47,90.9
48,91.8
49,91.0
50,93.30000000000001
