,HoeffdingTreeClassifier_def
0,61.0
1,59.4
2,59.699999999999996
3,59.699999999999996
4,61.3
5,57.3
6,61.1
7,59.599999999999994
8,58.599999999999994
9,57.49999999999999
10,59.4
11,66.8
12,76.4
13,31.8
14,6.9
15,12.6
16,21.3
17,24.5
18,46.2
19,59.0
20,64.1
21,68.7
22,63.3
23,65.3
24,63.7
25,64.4
26,63.800000000000004
27,26.5
28,57.99999999999999
29,57.599999999999994
30,61.3
31,60.3
32,31.6
33,36.5
34,37.9
35,38.2
36,42.9
37,33.1
38,49.3
39,53.900000000000006
40,60.8
41,64.0
42,60.8
43,60.699999999999996
44,62.4
45,57.49999999999999
46,40.8
47,41.3
48,43.9
49,45.7
50,78.8
