,LeveragingBaggingClassifier_vfdt
0,61.1
1,60.699999999999996
2,61.8
3,63.1
4,64.60000000000001
5,60.8
6,63.0
7,60.699999999999996
8,62.6
9,59.9
10,61.9
11,58.699999999999996
12,76.5
13,32.9
14,61.9
15,65.3
16,56.00000000000001
17,62.3
18,65.8
19,69.0
20,69.8
21,66.0
22,72.0
23,70.39999999999999
24,64.60000000000001
25,68.30000000000001
26,68.10000000000001
27,57.599999999999994
28,68.30000000000001
29,66.60000000000001
30,70.39999999999999
31,68.5
32,33.2
33,58.4
34,56.2
35,57.099999999999994
36,63.9
37,51.1
38,57.9
39,60.6
40,58.699999999999996
41,60.699999999999996
42,58.9
43,56.10000000000001
44,66.0
45,56.89999999999999
46,82.89999999999999
47,87.0
48,89.1
49,90.7
50,90.0
