,MajorityClassClassifier_def
0,19.1
1,18.7
2,18.6
3,17.299999999999997
4,19.2
5,16.400000000000002
6,18.6
7,18.6
8,18.3
9,18.0
10,17.4
11,10.6
12,0.0
13,15.0
14,23.799999999999997
15,23.3
16,20.0
17,0.0
18,0.6
19,25.900000000000002
20,25.7
21,28.599999999999998
22,28.000000000000004
23,23.599999999999998
24,27.500000000000004
25,25.4
26,26.8
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,13.8
33,19.5
34,15.9
35,19.6
36,16.1
37,7.7
38,7.3999999999999995
39,29.9
40,30.9
41,31.3
42,28.299999999999997
43,29.599999999999998
44,30.7
45,22.7
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
