,OzaBaggingClassifier_knn
0,65.3
1,64.60000000000001
2,64.9
3,66.3
4,64.9
5,63.5
6,65.10000000000001
7,66.60000000000001
8,65.9
9,68.30000000000001
10,65.0
11,43.9
12,90.4
13,35.199999999999996
14,56.89999999999999
15,63.2
16,55.60000000000001
17,30.0
18,70.89999999999999
19,55.400000000000006
20,72.2
21,73.3
22,71.6
23,70.3
24,72.2
25,71.7
26,70.6
27,24.8
28,68.30000000000001
29,68.89999999999999
30,66.3
31,67.7
32,31.6
33,53.0
34,57.99999999999999
35,57.699999999999996
36,57.8
37,27.800000000000004
38,51.0
39,66.8
40,71.2
41,73.7
42,69.69999999999999
43,69.69999999999999
44,74.7
45,57.3
46,50.5
47,84.8
48,84.2
49,83.1
50,85.7
