,OzaBaggingClassifier_vfdt
0,62.0
1,60.699999999999996
2,59.9
3,60.199999999999996
4,61.0
5,57.49999999999999
6,61.5
7,59.9
8,58.3
9,57.599999999999994
10,59.5
11,66.8
12,75.8
13,31.8
14,6.4
15,12.3
16,20.7
17,24.8
18,46.5
19,64.3
20,64.5
21,63.2
22,64.3
23,66.9
24,63.1
25,64.8
26,63.0
27,55.00000000000001
28,58.599999999999994
29,58.199999999999996
30,61.5
31,60.9
32,32.1
33,37.8
34,38.6
35,39.7
36,44.800000000000004
37,35.5
38,49.7
39,52.300000000000004
40,53.1
41,50.1
42,48.5
43,48.4
44,49.9
45,57.3
46,67.7
47,71.1
48,76.1
49,80.9
50,86.5
