,SAMKNNClassifier_ltm
0,65.7
1,60.6
2,67.10000000000001
3,63.3
4,62.2
5,65.3
6,64.0
7,69.1
8,66.3
9,67.4
10,66.3
11,43.1
12,100.0
13,35.199999999999996
14,57.8
15,61.3
16,54.300000000000004
17,93.89999999999999
18,69.5
19,66.4
20,72.5
21,74.9
22,69.89999999999999
23,70.39999999999999
24,73.6
25,72.0
26,72.2
27,33.300000000000004
28,68.4
29,69.39999999999999
30,53.6
31,67.0
32,32.0
33,54.50000000000001
34,57.8
35,56.699999999999996
36,57.199999999999996
37,29.2
38,52.5
39,67.60000000000001
40,72.1
41,72.1
42,69.6
43,69.39999999999999
44,74.2
45,56.599999999999994
46,72.2
47,84.39999999999999
48,84.5
49,86.2
50,88.2
