,SAMKNNClassifier_no_ltm
0,65.7
1,66.0
2,67.10000000000001
3,65.9
4,65.3
5,64.3
6,64.3
7,68.2
8,67.9
9,70.0
10,66.9
11,48.0
12,100.0
13,35.199999999999996
14,56.599999999999994
15,60.699999999999996
16,56.00000000000001
17,94.1
18,71.39999999999999
19,66.4
20,73.0
21,74.2
22,71.8
23,72.5
24,74.4
25,72.1
26,71.6
27,29.599999999999998
28,64.7
29,65.2
30,57.49999999999999
31,52.7
32,30.599999999999998
33,55.50000000000001
34,49.7
35,56.2
36,55.1
37,31.1
38,52.300000000000004
39,66.60000000000001
40,70.19999999999999
41,71.89999999999999
42,70.1
43,70.6
44,73.7
45,56.99999999999999
46,72.2
47,86.4
48,85.5
49,85.5
50,87.9
