,AdaptiveRandomForestClassifier_def
0,38.6
1,58.599999999999994
2,59.5
3,58.199999999999996
4,56.00000000000001
5,49.6
6,52.2
7,57.599999999999994
8,55.7
9,60.4
10,59.4
11,56.89999999999999
12,63.5
13,63.0
14,59.599999999999994
15,63.1
16,63.2
17,63.5
18,63.9
19,61.7
20,66.0
21,65.2
22,65.10000000000001
23,60.5
24,64.2
25,64.5
26,63.5
27,65.5
28,65.3
29,63.800000000000004
30,67.2
31,64.5
32,67.10000000000001
33,67.4
34,64.60000000000001
35,64.5
36,65.7
37,64.7
38,64.9
39,63.3
40,70.39999999999999
41,68.89999999999999
42,71.39999999999999
43,72.0
44,71.0
45,70.8
46,70.6
47,70.89999999999999
48,70.8
49,73.3
50,65.60000000000001
51,64.60000000000001
52,67.2
53,69.1
54,64.60000000000001
55,65.5
