,LeveragingBaggingClassifier_knn
0,34.8
1,45.800000000000004
2,51.300000000000004
3,45.6
4,44.7
5,40.2
6,45.2
7,43.4
8,43.9
9,46.0
10,44.6
11,49.7
12,52.0
13,49.8
14,42.8
15,46.0
16,49.9
17,45.0
18,49.7
19,50.3
20,51.1
21,51.800000000000004
22,47.4
23,43.3
24,45.800000000000004
25,46.6
26,47.199999999999996
27,46.9
28,43.4
29,43.3
30,47.0
31,49.3
32,48.5
33,45.0
34,47.3
35,47.5
36,47.699999999999996
37,46.800000000000004
38,42.3
39,49.8
40,50.9
41,52.0
42,49.3
43,50.1
44,53.1
45,54.400000000000006
46,51.5
47,49.4
48,52.1
49,52.300000000000004
50,48.9
51,49.3
52,48.4
53,50.0
54,50.2
55,47.199999999999996
