,LeveragingBaggingClassifier_vfdt
0,40.1
1,51.9
2,52.900000000000006
3,50.8
4,53.2
5,47.8
6,57.4
7,54.800000000000004
8,51.6
9,58.5
10,53.300000000000004
11,50.4
12,56.599999999999994
13,56.8
14,51.7
15,60.0
16,60.9
17,59.099999999999994
18,61.0
19,57.699999999999996
20,58.3
21,61.199999999999996
22,62.5
23,57.99999999999999
24,58.199999999999996
25,59.199999999999996
26,58.3
27,58.4
28,59.9
29,57.699999999999996
30,60.3
31,58.599999999999994
32,60.199999999999996
33,60.8
34,58.4
35,57.49999999999999
36,62.2
37,57.9
38,54.400000000000006
39,58.4
40,67.0
41,67.10000000000001
42,66.8
43,66.2
44,66.10000000000001
45,66.2
46,63.3
47,63.4
48,66.60000000000001
49,68.60000000000001
50,59.0
51,57.49999999999999
52,62.0
53,58.699999999999996
54,57.49999999999999
55,61.9
