,MajorityClassClassifier_def
0,16.5
1,16.7
2,16.1
3,16.2
4,16.5
5,16.5
6,16.3
7,16.5
8,16.8
9,16.6
10,16.5
11,16.5
12,16.400000000000002
13,16.6
14,16.0
15,16.3
16,16.400000000000002
17,16.7
18,16.400000000000002
19,16.3
20,16.5
21,16.6
22,16.5
23,16.400000000000002
24,16.0
25,16.1
26,16.1
27,17.2
28,16.5
29,16.400000000000002
30,16.2
31,16.3
32,16.2
33,16.3
34,16.900000000000002
35,16.400000000000002
36,16.2
37,16.1
38,16.2
39,16.6
40,16.0
41,16.2
42,16.7
43,16.1
44,16.5
45,16.0
46,16.3
47,16.0
48,16.400000000000002
49,16.7
50,16.5
51,16.2
52,16.3
53,16.3
54,16.3
55,16.400000000000002
