,OzaBaggingClassifier_knn
0,39.6
1,56.39999999999999
2,57.3
3,54.2
4,52.800000000000004
5,50.7
6,51.5
7,53.0
8,55.400000000000006
9,54.0
10,56.3
11,53.2
12,59.099999999999994
13,57.4
14,48.6
15,53.900000000000006
16,55.7
17,55.1
18,57.9
19,57.699999999999996
20,59.4
21,60.8
22,59.199999999999996
23,53.2
24,56.99999999999999
25,55.900000000000006
26,55.800000000000004
27,57.9
28,55.60000000000001
29,58.8
30,56.10000000000001
31,54.6
32,56.3
33,56.3
34,55.50000000000001
35,57.99999999999999
36,55.900000000000006
37,55.7
38,57.8
39,60.699999999999996
40,61.8
41,60.9
42,65.10000000000001
43,64.3
44,62.5
45,63.5
46,62.7
47,62.0
48,63.0
49,65.5
50,60.6
51,63.800000000000004
52,61.6
53,59.9
54,57.4
55,60.699999999999996
