,OzaBaggingClassifier_vfdt
0,40.699999999999996
1,48.3
2,56.39999999999999
3,56.699999999999996
4,55.60000000000001
5,46.1
6,43.5
7,43.0
8,42.699999999999996
9,47.199999999999996
10,44.0
11,39.5
12,45.1
13,44.0
14,37.8
15,39.300000000000004
16,40.6
17,43.0
18,43.7
19,43.4
20,45.4
21,60.699999999999996
22,59.0
23,56.49999999999999
24,53.6
25,55.900000000000006
26,54.7
27,56.3
28,55.800000000000004
29,55.400000000000006
30,57.8
31,55.00000000000001
32,55.400000000000006
33,60.3
34,57.4
35,56.49999999999999
36,57.099999999999994
37,55.1
38,53.800000000000004
39,57.099999999999994
40,58.9
41,57.699999999999996
42,59.199999999999996
43,59.3
44,59.699999999999996
45,62.9
46,60.199999999999996
47,58.8
48,62.7
49,63.4
50,56.699999999999996
51,57.4
52,59.0
53,54.900000000000006
54,52.7
55,51.300000000000004
