,SAMKNNClassifier_ltm
0,38.2
1,52.400000000000006
2,56.2
3,53.900000000000006
4,52.7
5,47.4
6,49.9
7,52.1
8,52.400000000000006
9,53.900000000000006
10,55.400000000000006
11,54.300000000000004
12,59.3
13,56.39999999999999
14,47.3
15,57.099999999999994
16,59.599999999999994
17,56.49999999999999
18,58.5
19,56.599999999999994
20,54.800000000000004
21,61.199999999999996
22,58.599999999999994
23,54.2
24,58.9
25,56.00000000000001
26,56.10000000000001
27,57.599999999999994
28,53.7
29,55.50000000000001
30,56.99999999999999
31,54.50000000000001
32,51.7
33,56.39999999999999
34,56.89999999999999
35,57.699999999999996
36,56.00000000000001
37,51.4
38,57.599999999999994
39,59.4
40,58.8
41,61.3
42,62.5
43,61.5
44,61.5
45,63.6
46,61.199999999999996
47,62.5
48,63.800000000000004
49,64.3
50,57.9
51,63.9
52,63.7
53,60.9
54,50.7
55,59.5
