,HoefdingTreesADWINComplete_def
0,61.0
1,59.4
2,59.699999999999996
3,59.699999999999996
4,61.3
5,57.3
6,61.1
7,59.599999999999994
8,58.599999999999994
9,57.49999999999999
10,59.4
11,66.8
12,76.4
13,35.3
14,58.3
15,60.5
16,56.3
17,68.30000000000001
18,50.6
19,63.2
20,66.2
21,67.9
22,67.30000000000001
23,66.10000000000001
24,64.0
25,65.4
26,64.9
27,55.1
28,67.7
29,65.8
30,67.9
31,69.6
32,28.1
33,48.199999999999996
34,52.400000000000006
35,55.60000000000001
36,59.5
37,51.300000000000004
38,57.4
39,61.4
40,60.5
41,58.5
42,53.2
43,56.99999999999999
44,48.0
45,54.6
46,81.6
47,83.2
48,85.1
49,85.0
50,56.3
