,HoefdingTreesADWINComplete_def
0,39.900000000000006
1,47.4
2,56.99999999999999
3,54.50000000000001
4,52.1
5,45.300000000000004
6,46.2
7,46.2
8,45.800000000000004
9,50.1
10,40.8
11,47.4
12,54.1
13,55.7
14,47.0
15,47.4
16,59.099999999999994
17,53.2
18,59.699999999999996
19,52.7
20,58.3
21,59.599999999999994
22,58.5
23,56.39999999999999
24,55.50000000000001
25,56.00000000000001
26,55.00000000000001
27,56.8
28,55.60000000000001
29,56.2
30,57.3
31,55.800000000000004
32,54.800000000000004
33,55.60000000000001
34,53.300000000000004
35,53.6
36,56.3
37,54.800000000000004
38,53.0
39,53.5
40,54.800000000000004
41,56.2
42,57.99999999999999
43,57.8
44,62.6
45,62.2
46,56.2
47,59.4
48,63.6
49,64.5
50,53.0
51,52.6
52,54.800000000000004
53,54.2
54,52.6
55,55.60000000000001
