,AdaptiveRandomForestClassifier_def
0,64.2
1,75.9
2,77.3
3,79.5
4,77.7
5,76.2
6,77.4
7,79.60000000000001
8,77.5
9,78.9
10,77.7
11,56.10000000000001
12,100.0
13,41.3
14,70.39999999999999
15,71.39999999999999
16,65.8
17,98.7
18,56.99999999999999
19,81.10000000000001
20,81.89999999999999
21,82.0
22,80.7
23,81.6
24,82.89999999999999
25,83.0
26,81.10000000000001
27,74.3
28,79.10000000000001
29,76.4
30,80.0
31,80.30000000000001
32,65.10000000000001
33,68.10000000000001
34,69.8
35,67.80000000000001
36,72.1
37,69.5
38,64.3
39,76.7
40,79.60000000000001
41,80.5
42,78.8
43,79.7
44,78.8
45,73.6
46,91.8
47,92.5
48,93.30000000000001
49,93.89999999999999
50,95.39999999999999
