,HoeffdingAdaptiveTreeClassifier_def
0,61.8
1,60.6
2,59.699999999999996
3,60.3
4,60.6
5,57.099999999999994
6,61.3
7,60.199999999999996
8,58.199999999999996
9,57.9
10,59.4
11,67.30000000000001
12,77.60000000000001
13,35.0
14,14.2
15,66.8
16,55.50000000000001
17,80.2
18,50.5
19,70.6
20,68.8
21,69.89999999999999
22,64.1
23,65.3
24,64.1
25,66.0
26,61.6
27,57.599999999999994
28,61.3
29,59.099999999999994
30,69.69999999999999
31,69.6
32,58.099999999999994
33,57.49999999999999
34,59.5
35,54.2
36,58.4
37,57.599999999999994
38,46.400000000000006
39,53.400000000000006
40,57.199999999999996
41,54.1
42,53.2
43,54.300000000000004
44,55.400000000000006
45,56.49999999999999
46,86.5
47,87.9
48,90.4
49,88.7
50,90.7
