,HoeffdingTreeClassifier_def
0,61.0
1,60.699999999999996
2,59.699999999999996
3,60.8
4,61.1
5,57.599999999999994
6,61.4
7,60.0
8,58.4
9,57.49999999999999
10,59.9
11,67.60000000000001
12,77.2
13,34.300000000000004
14,13.4
15,19.7
16,27.400000000000002
17,89.60000000000001
18,54.6
19,63.7
20,67.10000000000001
21,69.6
22,63.0
23,64.1
24,64.60000000000001
25,65.8
26,63.2
27,31.7
28,58.699999999999996
29,56.599999999999994
30,61.199999999999996
31,60.4
32,36.3
33,42.9
34,42.199999999999996
35,41.3
36,45.800000000000004
37,36.8
38,50.1
39,62.3
40,61.5
41,64.8
42,61.5
43,61.4
44,63.2
45,59.0
46,45.7
47,45.2
48,88.9
49,87.2
50,87.5
