,LeveragingBaggingClassifier_knn
0,55.300000000000004
1,62.2
2,61.199999999999996
3,60.099999999999994
4,60.5
5,59.4
6,60.8
7,60.3
8,62.5
9,61.199999999999996
10,61.6
11,42.9
12,100.0
13,40.8
14,59.9
15,61.7
16,30.7
17,96.7
18,60.699999999999996
19,70.3
20,67.4
21,69.89999999999999
22,64.4
23,70.1
24,67.60000000000001
25,68.0
26,59.599999999999994
27,64.0
28,66.10000000000001
29,66.9
30,69.3
31,65.8
32,51.300000000000004
33,54.7
34,53.6
35,55.800000000000004
36,55.60000000000001
37,47.699999999999996
38,58.699999999999996
39,67.4
40,67.7
41,70.0
42,69.6
43,65.3
44,69.6
45,33.7
46,78.5
47,76.5
48,80.80000000000001
49,80.5
50,86.0
