,LeveragingBaggingClassifier_vfdt
0,61.3
1,60.9
2,59.8
3,69.39999999999999
4,67.30000000000001
5,62.5
6,66.3
7,64.4
8,63.6
9,61.4
10,66.3
11,68.89999999999999
12,80.30000000000001
13,41.6
14,63.9
15,65.5
16,52.900000000000006
17,98.4
18,73.4
19,70.5
20,71.0
21,74.1
22,70.3
23,71.2
24,67.7
25,75.9
26,67.30000000000001
27,67.0
28,68.30000000000001
29,68.8
30,71.6
31,71.8
32,63.6
33,58.599999999999994
34,62.3
35,61.199999999999996
36,63.5
37,64.1
38,59.5
39,56.8
40,64.1
41,64.0
42,53.800000000000004
43,59.3
44,61.0
45,60.5
46,87.0
47,89.7
48,91.4
49,90.2
50,91.3
