,MajorityClassClassifier_def
0,19.1
1,18.7
2,18.6
3,21.8
4,19.2
5,19.3
6,18.6
7,20.3
8,18.3
9,21.6
10,19.2
11,11.3
12,0.0
13,16.6
14,25.900000000000002
15,25.6
16,21.2
17,0.0
18,38.0
19,19.8
20,29.599999999999998
21,28.599999999999998
22,28.000000000000004
23,23.599999999999998
24,27.500000000000004
25,27.3
26,26.8
27,0.0
28,0.0
29,0.0
30,0.0
31,12.9
32,17.5
33,19.5
34,19.8
35,19.6
36,18.0
37,60.0
38,17.1
39,32.2
40,30.9
41,31.3
42,33.5
43,29.599999999999998
44,30.7
45,22.7
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
