,NoChangeClassifier_def
0,18.6
1,18.7
2,17.8
3,17.299999999999997
4,19.2
5,19.3
6,20.3
7,17.4
8,18.3
9,18.0
10,17.8
11,42.9
12,100.0
13,16.6
14,24.5
15,23.3
16,7.7
17,51.0
18,12.3
19,25.900000000000002
20,25.7
21,17.7
22,17.4
23,28.499999999999996
24,27.500000000000004
25,27.3
26,4.5
27,35.199999999999996
28,11.4
29,40.699999999999996
30,37.0
31,34.4
32,15.2
33,18.099999999999998
34,15.9
35,17.599999999999998
36,16.1
37,7.7
38,23.1
39,17.5
40,28.7
41,31.900000000000002
42,33.5
43,6.7
44,30.7
45,12.7
46,23.799999999999997
47,24.2
48,22.7
49,43.2
50,24.3
