,OzaBaggingClassifier_knn
0,64.2
1,73.7
2,71.7
3,74.4
4,73.3
5,74.1
6,74.0
7,74.1
8,73.0
9,75.1
10,74.1
11,75.6
12,100.0
13,77.0
14,70.8
15,73.5
16,64.3
17,97.39999999999999
18,77.60000000000001
19,79.10000000000001
20,77.5
21,79.5
22,78.2
23,77.60000000000001
24,78.2
25,77.8
26,77.2
27,74.4
28,76.7
29,73.2
30,74.8
31,74.8
32,68.7
33,67.30000000000001
34,70.19999999999999
35,66.4
36,67.60000000000001
37,72.8
38,72.2
39,76.2
40,76.9
41,79.9
42,76.6
43,76.2
44,79.2
45,73.2
46,87.3
47,87.7
48,86.3
49,88.2
50,89.2
