,OzaBaggingClassifier_vfdt
0,60.6
1,61.5
2,59.4
3,60.5
4,60.699999999999996
5,58.4
6,61.5
7,59.8
8,58.699999999999996
9,57.699999999999996
10,59.8
11,67.7
12,77.0
13,34.0
14,12.6
15,19.1
16,27.3
17,95.5
18,60.5
19,62.4
20,61.3
21,62.7
22,62.2
23,65.60000000000001
24,61.8
25,65.8
26,62.6
27,57.599999999999994
28,58.8
29,57.3
30,61.6
31,60.8
32,37.1
33,43.1
34,42.699999999999996
35,41.5
36,46.9
37,37.3
38,52.0
39,56.2
40,57.3
41,53.900000000000006
42,48.0
43,49.8
44,51.5
45,58.5
46,75.3
47,77.5
48,87.4
49,88.4
50,89.1
