,SAMKNNClassifier_ltm
0,65.7
1,94.0
2,71.2
3,91.2
4,95.89999999999999
5,80.80000000000001
6,90.8
7,79.9
8,85.3
9,79.0
10,73.4
11,42.9
12,100.0
13,63.5
14,79.7
15,66.4
16,16.0
17,99.7
18,89.3
19,96.6
20,88.5
21,86.9
22,81.89999999999999
23,95.1
24,94.19999999999999
25,95.0
26,83.8
27,83.3
28,80.0
29,81.6
30,71.7
31,70.39999999999999
32,79.10000000000001
33,78.60000000000001
34,87.5
35,88.6
36,81.2
37,88.2
38,79.4
39,85.2
40,84.8
41,92.2
42,91.3
43,89.8
44,80.4
45,29.9
46,97.7
47,94.89999999999999
48,97.5
49,97.7
50,98.3
