,AdaptiveRandomForestClassifier_def
0,41.4
1,63.2
2,67.60000000000001
3,64.8
4,62.0
5,63.5
6,67.9
7,69.3
8,70.6
9,68.89999999999999
10,68.8
11,70.5
12,70.8
13,71.0
14,69.39999999999999
15,69.89999999999999
16,69.3
17,68.8
18,70.1
19,71.8
20,71.7
21,70.7
22,73.0
23,70.5
24,71.3
25,74.4
26,71.8
27,73.6
28,73.0
29,71.8
30,75.6
31,74.1
32,76.9
33,74.3
34,75.5
35,74.0
36,73.9
37,72.1
38,72.89999999999999
39,76.6
40,77.9
41,75.4
42,74.9
43,76.9
44,76.1
45,78.2
46,75.5
47,75.8
48,78.2
49,75.8
50,73.4
51,74.9
52,78.5
53,78.5
54,74.9
55,74.5
