,HoeffdingAdaptiveTreeClassifier_def
0,41.3
1,52.0
2,55.1
3,54.50000000000001
4,55.2
5,49.7
6,47.199999999999996
7,47.599999999999994
8,47.699999999999996
9,48.5
10,46.2
11,42.1
12,46.5
13,46.5
14,40.9
15,59.9
16,61.6
17,60.099999999999994
18,61.7
19,61.199999999999996
20,57.599999999999994
21,59.9
22,59.0
23,57.099999999999994
24,54.50000000000001
25,55.400000000000006
26,54.7
27,56.599999999999994
28,56.89999999999999
29,53.7
30,56.49999999999999
31,55.2
32,55.2
33,55.60000000000001
34,56.599999999999994
35,54.1
36,57.8
37,53.800000000000004
38,53.5
39,56.2
40,57.099999999999994
41,62.1
42,66.0
43,63.0
44,62.6
45,63.3
46,61.1
47,60.099999999999994
48,63.4
49,63.1
50,56.00000000000001
51,55.60000000000001
52,58.199999999999996
53,56.2
54,54.2
55,53.7
