,LeveragingBaggingClassifier_knn
0,35.3
1,55.2
2,58.599999999999994
3,52.800000000000004
4,50.2
5,53.6
6,55.50000000000001
7,55.00000000000001
8,52.1
9,53.5
10,53.900000000000006
11,58.099999999999994
12,56.599999999999994
13,56.599999999999994
14,52.6
15,56.99999999999999
16,56.89999999999999
17,52.800000000000004
18,59.599999999999994
19,58.8
20,58.699999999999996
21,59.5
22,55.900000000000006
23,55.300000000000004
24,53.400000000000006
25,56.89999999999999
26,56.3
27,51.6
28,51.300000000000004
29,56.599999999999994
30,56.99999999999999
31,56.99999999999999
32,57.099999999999994
33,57.599999999999994
34,53.5
35,50.4
36,53.7
37,50.8
38,56.699999999999996
39,62.7
40,60.199999999999996
41,60.0
42,57.599999999999994
43,59.5
44,60.699999999999996
45,61.7
46,57.9
47,62.0
48,58.9
49,59.8
50,54.1
51,61.3
52,60.199999999999996
53,61.199999999999996
54,56.10000000000001
55,58.699999999999996
