,MajorityClassClassifier_def
0,16.5
1,17.1
2,17.1
3,17.1
4,16.5
5,17.0
6,16.8
7,16.7
8,16.900000000000002
9,16.6
10,17.0
11,16.5
12,16.6
13,16.7
14,17.1
15,16.7
16,16.7
17,16.7
18,16.8
19,17.2
20,16.900000000000002
21,16.8
22,16.7
23,17.0
24,17.2
25,17.2
26,17.0
27,17.2
28,17.599999999999998
29,16.900000000000002
30,17.0
31,16.900000000000002
32,17.2
33,16.3
34,16.8
35,16.7
36,17.1
37,17.1
38,17.299999999999997
39,16.6
40,16.8
41,17.5
42,16.7
43,16.8
44,17.4
45,16.0
46,17.2
47,17.299999999999997
48,17.2
49,16.7
50,16.5
51,16.7
52,17.0
53,16.6
54,17.1
55,16.400000000000002
