,NoChangeClassifier_def
0,16.6
1,17.1
2,16.8
3,16.6
4,16.5
5,17.1
6,16.400000000000002
7,16.6
8,16.8
9,16.1
10,16.8
11,16.3
12,16.6
13,16.6
14,17.1
15,16.7
16,16.7
17,16.6
18,16.8
19,16.8
20,16.5
21,16.900000000000002
22,16.6
23,16.400000000000002
24,17.2
25,17.2
26,16.2
27,16.8
28,16.3
29,16.900000000000002
30,17.0
31,16.6
32,17.2
33,17.299999999999997
34,16.8
35,16.400000000000002
36,16.7
37,16.6
38,17.299999999999997
39,16.7
40,16.0
41,16.900000000000002
42,17.0
43,16.1
44,16.400000000000002
45,16.8
46,17.2
47,16.8
48,16.3
49,17.2
50,17.1
51,16.8
52,17.4
53,16.3
54,16.6
55,16.400000000000002
