,OzaBaggingClassifier_knn
0,40.8
1,66.4
2,68.89999999999999
3,64.1
4,63.800000000000004
5,62.3
6,63.1
7,67.30000000000001
8,66.60000000000001
9,66.8
10,64.1
11,68.60000000000001
12,67.2
13,67.30000000000001
14,64.5
15,67.5
16,67.30000000000001
17,68.5
18,70.39999999999999
19,69.89999999999999
20,72.1
21,69.8
22,70.89999999999999
23,67.2
24,66.10000000000001
25,68.4
26,64.60000000000001
27,67.30000000000001
28,66.9
29,66.5
30,69.5
31,68.30000000000001
32,68.60000000000001
33,66.4
34,66.9
35,65.4
36,66.10000000000001
37,65.4
38,69.0
39,73.5
40,72.5
41,69.8
42,71.8
43,71.6
44,72.89999999999999
45,72.2
46,71.1
47,71.39999999999999
48,73.2
49,73.9
50,72.39999999999999
51,73.8
52,72.2
53,71.6
54,66.5
55,69.6
