,OzaBaggingClassifier_vfdt
0,40.300000000000004
1,53.400000000000006
2,56.99999999999999
3,54.800000000000004
4,55.400000000000006
5,49.2
6,45.800000000000004
7,45.800000000000004
8,46.7
9,48.0
10,46.2
11,41.4
12,46.2
13,47.099999999999994
14,39.6
15,41.699999999999996
16,43.1
17,44.3
18,45.7
19,45.800000000000004
20,46.5
21,64.3
22,63.9
23,61.7
24,60.6
25,59.699999999999996
26,58.699999999999996
27,59.9
28,60.9
29,58.599999999999994
30,61.9
31,60.8
32,59.0
33,60.699999999999996
34,58.8
35,60.199999999999996
36,61.199999999999996
37,58.099999999999994
38,58.699999999999996
39,60.9
40,62.4
41,61.6
42,63.7
43,62.9
44,64.1
45,64.5
46,62.6
47,61.3
48,66.8
49,65.0
50,62.0
51,61.6
52,63.800000000000004
53,61.7
54,58.099999999999994
55,58.9
