,SAMKNNClassifier_ltm
0,38.2
1,89.60000000000001
2,92.7
3,84.1
4,81.69999999999999
5,67.60000000000001
6,80.10000000000001
7,62.9
8,93.60000000000001
9,88.9
10,75.1
11,87.3
12,88.2
13,74.3
14,77.0
15,78.60000000000001
16,92.30000000000001
17,90.10000000000001
18,90.0
19,70.6
20,90.7
21,81.8
22,94.1
23,90.60000000000001
24,90.2
25,89.0
26,70.5
27,88.7
28,84.0
29,92.0
30,89.0
31,57.4
32,77.9
33,63.4
34,85.5
35,80.9
36,55.1
37,79.4
38,83.1
39,83.6
40,92.2
41,79.3
42,81.10000000000001
43,95.0
44,90.4
45,95.6
46,84.1
47,84.7
48,89.3
49,90.7
50,86.5
51,91.0
52,84.39999999999999
53,67.5
54,86.9
55,82.3
