,SAMKNNClassifier_no_ltm
0,38.4
1,89.60000000000001
2,89.60000000000001
3,100.0
4,80.4
5,66.0
6,70.0
7,99.5
8,99.9
9,100.0
10,99.9
11,100.0
12,99.9
13,99.9
14,100.0
15,99.9
16,100.0
17,99.9
18,100.0
19,100.0
20,100.0
21,100.0
22,100.0
23,99.9
24,100.0
25,99.9
26,99.9
27,99.9
28,100.0
29,99.9
30,99.9
31,100.0
32,99.9
33,99.9
34,100.0
35,100.0
36,99.9
37,100.0
38,90.2
39,99.9
40,99.9
41,100.0
42,100.0
43,100.0
44,99.9
45,100.0
46,100.0
47,99.9
48,100.0
49,100.0
50,100.0
51,99.9
52,99.9
53,99.9
54,99.9
55,99.9
